atr_bpn_id,NIK,asset_type,certificate_type,certificate_number,provinsi,kota,kecamatan,kelurahan,land_area_m2,building_area_m2,nilai_tanah_per_m2,nilai_bangunan_per_m2,nilai_tanah_total,nilai_bangunan_total,total_collateral_value,ownership_match
ATR000685,3671011210730685,Rumah,HGB,30576/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,356.0,357.8,7070000,3010000,2516920000,1076978000,3593898000,Ya
ATR000686,3674016310780686,Rumah,HGB,89106/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,99.8,76.8,7140000,3810000,712572000,292608000,1005180000,Ya
ATR000687,3271016903960687,Gudang,HGB,40134/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,193.2,235.0,25520000,5510000,4930464000,1294850000,6225314000,Ya
ATR000688,3671012109760688,Ruko,HGB,94694/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,66.2,75.1,6970000,3570000,461414000,268107000,729521000,Ya
ATR000689,3671014504880689,Tanah,SHM,14161/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,273.7,0.0,12680000,3700000,3470516000,0,3470516000,Ya
ATR000690,3671016611690690,Tanah,SHM,37052/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,306.0,0.0,12130000,4400000,3711780000,0,3711780000,Ya
ATR000691,3174011902680691,Rumah,SHM,54766/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,346.7,307.9,52250000,7070000,18115075000,2176853000,20291928000,Ya
ATR000692,3173010103730692,Rumah,SHM,82689/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,122.4,144.9,24520000,4950000,3001248000,717255000,3718503000,Ya
ATR000693,3275012007930693,Tanah,SHM,23344/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,191.9,0.0,9820000,4030000,1884458000,0,1884458000,Ya
ATR000694,3674010803950694,Ruko,SHM,77120/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,82.8,99.5,26100000,5370000,2161080000,534315000,2695395000,Tidak
ATR000695,3674016503860695,Tanah,HGB,46640/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,82.6,0.0,29250000,4800000,2416050000,0,2416050000,Ya
ATR000696,3175016510790696,Ruko,SHM,42706/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,333.3,282.2,10340000,3660000,3446322000,1032852000,4479174000,Ya
ATR000697,3175015004850697,Tanah,SHM,25628/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,134.8,0.0,9550000,3650000,1287340000,0,1287340000,Ya
ATR000698,3671017105950698,Rumah,HGB,35421/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,185.7,161.8,23470000,5240000,4358379000,847832000,5206211000,Ya
ATR000699,3276010812960699,Tanah,HGB,97575/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,62.8,0.0,27460000,5770000,1724488000,0,1724488000,Ya
ATR000700,3671015607720700,Ruko,SHM,57117/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,61.8,70.7,23800000,5070000,1470840000,358449000,1829289000,Ya
ATR000701,3671011003720701,Tanah,SHM,51618/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,320.6,0.0,7180000,3690000,2301908000,0,2301908000,Ya
ATR000702,3276014211900702,Ruko,SHM,98309/Poris Plawad,Banten,Tangerang,Cipondoh,Poris Plawad,333.0,304.5,6690000,3570000,2227770000,1087065000,3314835000,Ya
ATR000703,3174010604800703,Ruko,SHM,75550/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,312.4,198.7,7270000,4019999,2271148000,798774000,3069922000,Ya
ATR000704,3671014101030704,Ruko,SHM,59814/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,368.8,408.3,10290000,3980000,3794952000,1625034000,5419986000,Ya
ATR000705,3276014406870705,Tanah,HGB,14964/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,256.8,0.0,9360000,3410000,2403648000,0,2403648000,Ya
ATR000706,3671016304930706,Rumah,SHM,28815/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,303.6,217.6,36430000,5660000,11060148000,1231616000,12291764000,Ya
ATR000707,3171010806030707,Ruko,HGB,82377/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,133.1,111.8,28060000,5210000,3734786000,582478000,4317264000,Ya
ATR000708,3674015807820708,Tanah,HGB,23731/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,86.2,0.0,42350000,5790000,3650570000,0,3650570000,Ya
ATR000709,3674011405940709,Gudang,SHM,65870/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,284.2,323.1,8380000,3810000,2381596000,1231011000,3612607000,Ya
ATR000710,3175012607970710,Gudang,SHM,54217/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,379.3,382.8,52100000,6050000,19761530000,2315940000,22077470000,Ya
ATR000711,3172014103940711,Gudang,SHM,18527/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,296.2,199.9,46290000,5580000,13711098000,1115442000,14826540000,Ya
ATR000712,3671015404940712,Rumah,SHM,20143/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,337.1,378.4,48520000,5440000,16356092000,2058496000,18414588000,Ya
ATR000713,3174016306700713,Ruko,HGB,95407/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,297.6,236.5,26450000,4550000,7871520000,1076075000,8947595000,Ya
ATR000714,3671012105780714,Rumah,SHM,14871/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,71.4,85.9,25840000,5590000,1844976000,480181000,2325157000,Ya
ATR000715,3671015411670715,Gudang,HGB,94222/Poris Plawad,Banten,Tangerang,Cipondoh,Poris Plawad,286.7,217.4,8400000,3800000,2408280000,826120000,3234400000,Ya
ATR000716,3275010410660716,Tanah,HGB,79595/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,366.3,0.0,10340000,4170000,3787542000,0,3787542000,Ya
ATR000717,3271010306890717,Rumah,HGB,16503/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,144.7,139.1,6960000,3160000,1007112000,439556000,1446668000,Tidak
ATR000718,3671011206880718,Tanah,SHM,61292/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,171.1,0.0,9670000,3930000,1654537000,0,1654537000,Ya
ATR000719,3276010801710719,Gudang,SHM,24904/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,399.2,276.7,7760000,3500000,3097792000,968450000,4066242000,Ya
ATR000720,3173015706850720,Tanah,SHM,71740/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,67.6,0.0,23950000,5640000,1619020000,0,1619020000,Ya
ATR000721,3671013010830721,Tanah,HGB,20847/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,166.3,0.0,12560000,3680000,2088728000,0,2088728000,Ya
ATR000722,3275011110790722,Ruko,SHM,35560/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,319.9,319.6,17260000,3620000,5521474000,1156952000,6678426000,Ya
ATR000723,3174015911720723,Ruko,SHM,13429/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,270.6,257.3,29050000,6100000,7860930000,1569530000,9430460000,Ya
ATR000724,3171014804790724,Rumah,HGB,33210/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,257.5,332.8,48470000,5900000,12481025000,1963520000,14444545000,Ya
ATR000725,3671014107940725,Ruko,HGB,10953/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,192.3,131.4,8230000,4059999,1582629000,533484000,2116113000,Ya
ATR000726,3674011903730726,Gudang,HGB,74544/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,176.2,162.5,16440000,5170000,2896728000,840125000,3736853000,Tidak
ATR000727,3674016707990727,Rumah,HGB,95626/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,280.8,321.1,26610000,5350000,7472088000,1717885000,9189973000,Ya
ATR000728,3671010504010728,Ruko,SHM,18272/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,214.6,223.1,8950000,3460000,1920670000,771926000,2692596000,Tidak
ATR000729,3174015301970729,Tanah,SHM,79854/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,116.9,0.0,22000000,5290000,2571800000,0,2571800000,Ya
ATR000730,3671014411720730,Ruko,SHM,30011/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,280.5,202.0,49330000,6770000,13837065000,1367540000,15204605000,Ya
ATR000731,3276012404020731,Tanah,HGB,97899/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,121.0,0.0,12740000,3950000,1541540000,0,1541540000,Ya
ATR000732,3671010910850732,Gudang,HGB,43544/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,344.7,219.2,15400000,4880000,5308380000,1069696000,6378076000,Ya
ATR000733,3671011401830733,Tanah,SHM,82177/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,297.9,0.0,49570000,6550000,14766903000,0,14766903000,Tidak
ATR000734,3171014807990734,Rumah,HGB,48225/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,242.2,215.8,24260000,4660000,5875772000,1005628000,6881400000,Ya
ATR000735,3671014504720735,Ruko,HGB,50800/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,154.2,190.8,22550000,5140000,3477210000,980712000,4457922000,Ya
ATR000736,3271010206660736,Ruko,HGB,81575/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,77.7,40.8,8790000,3330000,682983000,135864000,818847000,Ya
ATR000737,3674012411700737,Tanah,SHM,45336/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,359.5,0.0,50170000,6290000,18036115000,0,18036115000,Ya
ATR000738,3275012606840738,Tanah,HGB,88466/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,353.4,0.0,11160000,3450000,3943944000,0,3943944000,Ya
ATR000739,3175011106960739,Tanah,HGB,57117/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,157.4,0.0,13090000,4600000,2060366000,0,2060366000,Ya
ATR000740,3671011704750740,Ruko,HGB,54064/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,365.1,364.4,10280000,3760000,3753228000,1370144000,5123372000,Ya
ATR000741,3674012007880741,Tanah,HGB,57299/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,81.2,0.0,8560000,3130000,695072000,0,695072000,Tidak
ATR000742,3271010208770742,Tanah,HGB,70918/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,337.8,0.0,49760000,6790000,16808928000,0,16808928000,Ya
ATR000743,3276011910770743,Ruko,SHM,34678/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,191.1,106.4,41100000,5510000,7854210000,586264000,8440474000,Ya
ATR000744,3671016108950744,Rumah,SHM,22450/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,151.3,87.9,49510000,5810000,7490863000,510699000,8001562000,Tidak
ATR000745,3174010811700745,Ruko,HGB,87012/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,318.2,405.5,29460000,5130000,9374172000,2080215000,11454387000,Ya
ATR000746,3172014205970746,Tanah,SHM,37456/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,170.9,0.0,11280000,3680000,1927752000,0,1927752000,Ya
ATR000747,3173015501680747,Tanah,HGB,98254/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,147.2,0.0,21050000,5260000,3098560000,0,3098560000,Ya
ATR000748,3171016403980748,Ruko,HGB,12409/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,131.6,151.0,8940000,3620000,1176504000,546620000,1723124000,Ya
ATR000749,3276014404730749,Tanah,HGB,63176/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,112.7,0.0,48120000,6470000,5423124000,0,5423124000,Ya
ATR000750,3271014810890750,Tanah,SHM,37367/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,251.6,0.0,30550000,4900000,7686380000,0,7686380000,Ya
ATR000751,3275016610930751,Tanah,HGB,31807/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,231.9,0.0,24120000,5500000,5593428000,0,5593428000,Ya
ATR000752,3671016305970752,Ruko,HGB,17151/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,225.9,127.8,17780000,4240000,4016502000,541872000,4558374000,Ya
ATR000753,3671010106970753,Tanah,HGB,46218/Poris Plawad,Banten,Tangerang,Cipondoh,Poris Plawad,79.4,0.0,7320000,3360000,581208000,0,581208000,Ya
ATR000754,3671016612710754,Ruko,HGB,39716/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,255.3,263.9,43320000,6650000,11059596000,1754935000,12814531000,Ya
ATR000755,3172014201870755,Tanah,SHM,48382/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,242.9,0.0,24240000,5730000,5887896000,0,5887896000,Ya
ATR000756,3276013105850756,Gudang,SHM,34943/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,186.3,122.2,44860000,6430000,8357418000,785746000,9143164000,Ya
ATR000757,3671010612700757,Tanah,HGB,21234/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,224.3,0.0,60580000,6230000,13588094000,0,13588094000,Ya
ATR000758,3674013107010758,Tanah,HGB,51475/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,198.3,0.0,8060000,3550000,1598298000,0,1598298000,Ya
ATR000759,3172012404780759,Gudang,HGB,16055/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,102.8,67.6,9650000,3250000,992020000,219700000,1211720000,Ya
ATR000760,3671015802750760,Ruko,HGB,13780/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,257.0,229.2,28170000,4870000,7239690000,1116204000,8355894000,Ya
ATR000761,3275014403810761,Tanah,SHM,10744/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,186.5,0.0,9440000,3210000,1760560000,0,1760560000,Ya
ATR000762,3671011001930762,Rumah,HGB,40507/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,123.0,88.9,24720000,4800000,3040560000,426720000,3467280000,Ya
ATR000763,3671011505790763,Tanah,HGB,39600/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,157.1,0.0,10150000,4340000,1594565000,0,1594565000,Ya
ATR000764,3276016702730764,Ruko,SHM,71845/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,108.6,86.8,9800000,3650000,1064280000,316820000,1381100000,Ya
ATR000765,3173011310830765,Tanah,SHM,44568/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,249.3,0.0,11040000,4139999,2752272000,0,2752272000,Ya
ATR000766,3175011602650766,Tanah,SHM,29670/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,288.7,0.0,50390000,5950000,14547593000,0,14547593000,Ya
ATR000767,3175016708850767,Ruko,HGB,72775/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,144.9,103.0,15300000,5000000,2216970000,515000000,2731970000,Ya
ATR000768,3173011911970768,Tanah,HGB,52799/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,273.3,0.0,59130000,5820000,16160229000,0,16160229000,Ya
ATR000769,3174014408710769,Tanah,HGB,86168/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,179.4,0.0,8780000,3780000,1575132000,0,1575132000,Ya
ATR000770,3172010305960770,Gudang,HGB,68425/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,73.6,54.0,16420000,4150000,1208512000,224100000,1432612000,Ya
ATR000771,3174014702920771,Rumah,SHM,97070/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,219.1,191.3,9160000,3230000,2006956000,617899000,2624855000,Ya
ATR000772,3276015203770772,Ruko,HGB,71711/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,206.2,201.6,28750000,5620000,5928250000,1132992000,7061242000,Ya
ATR000773,3671015808010773,Rumah,SHM,29812/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,341.4,217.3,25770000,5010000,8797878000,1088673000,9886551000,Ya
ATR000774,3174016806680774,Ruko,HGB,98826/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,233.6,231.8,44930000,6020000,10495648000,1395436000,11891084000,Ya
ATR000775,3175010306730775,Tanah,SHM,51406/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,77.1,0.0,7740000,3860000,596754000,0,596754000,Ya
ATR000776,3275014511780776,Rumah,SHM,62565/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,345.3,217.0,10290000,3940000,3553137000,854980000,4408117000,Ya
ATR000777,3175010904830777,Ruko,SHM,72567/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,76.9,83.0,7950000,3720000,611355000,308760000,920115000,Ya
ATR000778,3671015407680778,Rumah,SHM,22270/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,119.0,95.7,59970000,6290000,7136430000,601953000,7738383000,Ya
ATR000779,3271014103810779,Rumah,HGB,25205/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,102.7,114.8,27630000,5790000,2837601000,664692000,3502293000,Ya
ATR000780,3175011807890780,Rumah,HGB,57744/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,375.9,304.4,15660000,3850000,5886594000,1171940000,7058534000,Ya
ATR000781,3275015103680781,Gudang,HGB,38420/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,238.4,267.1,23010000,4960000,5485584000,1324816000,6810400000,Ya
ATR000782,3175011407030782,Gudang,SHM,68152/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,386.9,400.2,33900000,5110000,13115910000,2045022000,15160932000,Ya
ATR000783,3674015610760783,Gudang,HGB,44563/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,290.7,219.2,33130000,6240000,9630891000,1367808000,10998699000,Ya
ATR000784,3275014301750784,Ruko,SHM,99442/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,311.3,224.7,28030000,6260000,8725739000,1406622000,10132361000,Ya
ATR000785,3671012210820785,Rumah,HGB,50667/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,303.5,323.2,10370000,4360000,3147295000,1409152000,4556447000,Ya
ATR000786,3275012706770786,Ruko,HGB,72336/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,175.6,98.9,26540000,4920000,4660424000,486588000,5147012000,Ya
ATR000787,3275010904010787,Tanah,SHM,26023/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,343.8,0.0,31660000,4980000,10884708000,0,10884708000,Ya
ATR000788,3174015205710788,Gudang,HGB,21709/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,375.7,206.4,26330000,4940000,9892181000,1019616000,10911797000,Ya
ATR000789,3173014505800789,Tanah,SHM,37039/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,111.2,0.0,9690000,3540000,1077528000,0,1077528000,Ya
ATR000790,3671014212010790,Tanah,SHM,69236/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,143.9,0.0,44610000,6290000,6419379000,0,6419379000,Ya
ATR000791,3173011303790791,Rumah,SHM,97119/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,316.3,304.4,13460000,4380000,4257398000,1333272000,5590670000,Ya
ATR000792,3671010711830792,Ruko,SHM,69647/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,78.9,39.9,10960000,4200000,864744000,167580000,1032324000,Ya
ATR000793,3175014910780793,Tanah,SHM,51667/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,196.8,0.0,20080000,5030000,3951744000,0,3951744000,Ya
ATR000794,3275016011720794,Ruko,HGB,65298/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,166.7,175.5,6520000,3080000,1086884000,540540000,1627424000,Ya
ATR000795,3671015206930795,Tanah,SHM,84676/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,176.3,0.0,15660000,4620000,2760858000,0,2760858000,Ya
ATR000796,3671010206930796,Ruko,HGB,48111/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,309.9,286.7,28090000,5490000,8705091000,1573983000,10279074000,Ya
ATR000797,3275016309800797,Ruko,SHM,67368/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,262.7,222.5,35970000,5310000,9449319000,1181475000,10630794000,Ya
ATR000798,3671015003650798,Ruko,SHM,48129/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,366.8,284.3,9630000,3770000,3532284000,1071811000,4604095000,Ya
ATR000799,3276014612890799,Tanah,HGB,36971/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,339.1,0.0,30600000,5760000,10376460000,0,10376460000,Ya
ATR000800,3671011508840800,Ruko,SHM,49709/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,195.8,149.1,13650000,4610000,2672670000,687351000,3360021000,Ya
ATR000801,3174015508840801,Ruko,HGB,72000/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,95.5,91.8,29680000,4870000,2834440000,447066000,3281506000,Tidak
ATR000802,3671011505730802,Ruko,HGB,67212/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,133.0,73.7,27770000,5680000,3693410000,418616000,4112026000,Ya
ATR000803,3174012108930803,Rumah,SHM,26636/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,284.0,262.9,35240000,5410000,10008160000,1422289000,11430449000,Ya
ATR000804,3271010908020804,Gudang,SHM,94439/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,160.8,201.1,24100000,5730000,3875280000,1152303000,5027583000,Ya
ATR000805,3271010306930805,Ruko,HGB,26553/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,389.7,329.3,9540000,3290000,3717738000,1083397000,4801135000,Ya
ATR000806,3275010902720806,Ruko,HGB,77005/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,295.3,255.8,27540000,5690000,8132562000,1455502000,9588064000,Ya
ATR000807,3171012904660807,Rumah,SHM,77963/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,256.4,201.9,17550000,4600000,4499820000,928740000,5428560000,Ya
ATR000808,3671011412850808,Tanah,HGB,90397/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,179.3,0.0,8630000,4150000,1547359000,0,1547359000,Ya
ATR000809,3671014706720809,Tanah,HGB,61237/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,131.1,0.0,35020000,5940000,4591122000,0,4591122000,Ya
ATR000810,3671014404840810,Tanah,HGB,47568/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,345.9,0.0,24740000,5110000,8557566000,0,8557566000,Ya
ATR000811,3671015311820811,Rumah,SHM,40621/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,340.0,274.6,9880000,3580000,3359200000,983068000,4342268000,Ya
ATR000812,3276012012990812,Gudang,HGB,86085/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,100.3,125.1,58030000,6560000,5820409000,820656000,6641065000,Ya
ATR000813,3271013012910813,Tanah,SHM,52412/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,221.7,0.0,26250000,4760000,5819625000,0,5819625000,Ya
ATR000814,3271016706010814,Tanah,SHM,72364/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,390.2,0.0,25470000,5540000,9938394000,0,9938394000,Ya
ATR000815,3172013108790815,Gudang,HGB,93986/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,202.0,119.8,56860000,7360000,11485720000,881728000,12367448000,Ya
ATR000816,3275014612880816,Ruko,SHM,92934/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,86.1,67.5,10150000,3690000,873915000,249075000,1122990000,Ya
ATR000817,3674017007680817,Ruko,SHM,75059/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,337.0,333.4,52910000,6020000,17830670000,2007068000,19837738000,Ya
ATR000818,3171016302670818,Ruko,SHM,93751/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,180.7,150.1,9470000,3770000,1711229000,565877000,2277106000,Ya
ATR000819,3174016508760819,Rumah,HGB,69358/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,194.4,125.5,6280000,3730000,1220832000,468115000,1688947000,Ya
ATR000820,3172014109850820,Tanah,SHM,11794/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,202.5,0.0,7200000,4010000,1458000000,0,1458000000,Ya
ATR000821,3671010208770821,Tanah,HGB,93099/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,138.7,0.0,16010000,4490000,2220587000,0,2220587000,Tidak
ATR000822,3671014503960822,Ruko,HGB,50165/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,135.0,163.2,18080000,4720000,2440800000,770304000,3211104000,Ya
ATR000823,3175015205740823,Tanah,HGB,39215/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,274.1,0.0,6800000,3660000,1863880000,0,1863880000,Ya
ATR000824,3674013110920824,Gudang,HGB,42585/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,290.3,244.7,9630000,4170000,2795589000,1020399000,3815988000,Ya
ATR000825,3174011710750825,Ruko,HGB,14512/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,343.2,319.9,11030000,3720000,3785496000,1190028000,4975524000,Ya
ATR000826,3671016411800826,Ruko,HGB,30478/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,371.1,260.1,60680000,6470000,22518348000,1682847000,24201195000,Ya
ATR000827,3174014502940827,Ruko,SHM,97262/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,164.9,158.0,8530000,3270000,1406597000,516660000,1923257000,Ya
