slik_record_id,NIK,inquiry_date,bank_name,loan_type,plafond,outstanding_balance,installment_amount,tenor_month,collectability,collectability_label
SLK000814,3671016505900547,2025-10-25,Bank CIMB Niaga,KKB,200000000,61709940,4482858,48,1,Lancar
SLK000815,3671016505900547,2026-04-21,Bank Danamon,KMK,50000000,25315701,4480264,12,1,Lancar
SLK000816,3171015312020548,2025-05-28,Bank BNI,KMK,150000000,118631233,3573427,48,2,Dalam Perhatian Khusus (DPK)
SLK000817,3171017003660549,2025-02-15,Bank BNI,KI,300000000,153236213,5602372,60,1,Lancar
SLK000818,3173016104810551,2026-02-14,Bank BRI,KPR,75000000,34469730,3479787,24,4,Diragukan
SLK000819,3172016706700552,2024-08-15,Bank BNI,KKB,150000000,36394719,7071067,24,1,Lancar
SLK000820,3175014703000554,2024-07-20,Bank Mandiri,KPR,200000000,73387725,18199029,12,1,Lancar
SLK000821,3175014703000554,2025-04-12,Bank Danamon,KKB,500000000,272894998,9479043,60,1,Lancar
SLK000822,3175014703000554,2025-12-05,Bank Panin,KKB,25000000,22955081,765200,36,1,Lancar
SLK000823,3175011710890555,2025-02-17,Bank Mandiri,KKB,100000000,32804905,4477334,24,1,Lancar
SLK000824,3175011710890555,2024-02-29,Bank BRI,KPR,50000000,43312072,901917,60,1,Lancar
SLK000825,3275016711010556,2024-01-24,Bank OCBC NISP,KKB,25000000,11086310,1091404,24,4,Diragukan
SLK000826,3674016201980557,2025-03-13,Bank Permata,KMK,100000000,68763441,1850567,60,1,Lancar
SLK000827,3674016201980557,2026-08-16,Bank Permata,KK,200000000,90838857,4370491,48,1,Lancar
SLK000828,3671014205850558,2025-10-18,Bank Danamon,KMK,300000000,194554132,6444257,48,1,Lancar
SLK000829,3671014205850558,2025-06-11,Bank Danamon,KI,25000000,19608086,568433,48,2,Dalam Perhatian Khusus (DPK)
SLK000830,3271017110900559,2025-03-12,Bank BCA,KMK,25000000,22999717,1114525,24,1,Lancar
SLK000831,3671015009760560,2025-03-06,Bank Panin,KK,500000000,404188505,46657865,12,1,Lancar
SLK000832,3671015009760560,2025-02-23,Bank Danamon,KPR,25000000,5567695,467173,60,4,Diragukan
SLK000833,3671014612650561,2026-05-30,Bank BNI,KI,75000000,29414265,2334144,36,3,Kurang Lancar
SLK000834,3275016601750563,2025-01-29,Bank CIMB Niaga,KKB,75000000,68288150,1300308,60,1,Lancar
SLK000835,3275016601750563,2024-10-04,Bank BCA,KPR,150000000,105453276,3558308,48,1,Lancar
SLK000836,3671014405670566,2024-03-06,Bank BRI,KPR,300000000,135139542,25691453,12,1,Lancar
SLK000837,3671014405670566,2024-01-15,Bank CIMB Niaga,KI,50000000,33850067,1126635,48,1,Lancar
SLK000838,3276014602900567,2025-08-05,Bank Permata,KK,300000000,192518832,9202894,36,1,Lancar
SLK000839,3276014602900567,2024-10-17,Bank Panin,KI,25000000,6865102,756574,36,1,Lancar
SLK000840,3276014602900567,2024-11-21,BPR Mitra Usaha,KKB,200000000,70703924,4257129,48,2,Dalam Perhatian Khusus (DPK)
SLK000841,3671011305710568,2024-02-21,Bank Mandiri,KMK,50000000,44557257,874256,60,1,Lancar
SLK000842,3671011305710568,2026-06-22,Bank BCA,KK,100000000,23025199,8834895,12,1,Lancar
SLK000843,3671015103880569,2025-11-06,Bank BRI,KMK,500000000,399230039,14461993,36,1,Lancar
SLK000844,3671015103880569,2026-07-12,Bank Panin,KKB,75000000,18115076,1725597,48,1,Lancar
SLK000845,3171012003730570,2024-04-18,Bank Permata,KI,75000000,49764327,1714089,48,1,Lancar
SLK000846,3671015407850571,2025-06-27,Bank Panin,KMK,100000000,84983658,8513671,12,1,Lancar
SLK000847,3671015407850571,2025-08-29,Bank BNI,KK,100000000,73164283,9118866,12,1,Lancar
SLK000848,3276010603910572,2025-10-08,Bank BRI,KKB,500000000,192680793,15247297,36,1,Lancar
SLK000849,3276010603910572,2024-03-24,BPR Mitra Usaha,KMK,100000000,74491993,1903828,60,2,Dalam Perhatian Khusus (DPK)
SLK000850,3671015210790574,2025-06-02,BPR Mitra Usaha,KK,50000000,13761793,4578654,12,1,Lancar
SLK000851,3671015210790574,2026-04-06,Bank BNI,KK,75000000,30199017,7168337,12,1,Lancar
SLK000852,3671015807890575,2026-05-11,Bank BCA,KK,75000000,65648154,1326480,60,3,Kurang Lancar
SLK000853,3671015807890575,2025-07-01,Bank OCBC NISP,KK,50000000,15893605,1143726,48,2,Dalam Perhatian Khusus (DPK)
SLK000854,3271011201940576,2024-05-11,Bank BCA,KKB,150000000,50828349,4764102,36,1,Lancar
SLK000855,3271011201940576,2024-12-06,Bank Mandiri,KMK,50000000,14805811,1114021,48,4,Diragukan
SLK000856,3276015812860577,2026-05-18,Bank Panin,KMK,500000000,403903724,23876161,24,1,Lancar
SLK000857,3173016306780579,2025-04-21,Bank Danamon,KKB,500000000,416260423,44847269,12,3,Kurang Lancar
SLK000858,3173016306780579,2025-03-07,Bank Mandiri,KMK,300000000,279030501,8783735,36,1,Lancar
SLK000859,3671012811870580,2025-06-07,Bank Mandiri,KK,75000000,54529370,1418307,60,2,Dalam Perhatian Khusus (DPK)
SLK000860,3671012811870580,2025-03-17,Bank OCBC NISP,KPR,75000000,16553403,1305045,60,1,Lancar
SLK000861,3671012001730581,2026-02-06,Bank BRI,KI,200000000,141981222,3464094,60,1,Lancar
SLK000862,3671012001730581,2025-02-25,Bank BRI,KPR,300000000,105743843,14194993,24,5,Macet
SLK000863,3671015111680585,2025-09-03,Bank BCA,KPR,75000000,60976635,1340889,60,1,Lancar
SLK000864,3671015111680585,2024-05-11,Bank Panin,KK,25000000,12590603,567778,48,1,Lancar
SLK000865,3674012402860586,2024-08-18,Bank BRI,KK,150000000,86267888,7111556,24,2,Dalam Perhatian Khusus (DPK)
SLK000866,3671016508830587,2024-04-19,Bank Permata,KKB,200000000,105374235,4467679,48,2,Dalam Perhatian Khusus (DPK)
SLK000867,3671016805750588,2024-12-11,Bank BCA,KKB,200000000,109111332,4707648,48,2,Dalam Perhatian Khusus (DPK)
SLK000868,3671016805750588,2025-05-15,Bank BNI,KMK,75000000,27873278,3421463,24,1,Lancar
SLK000869,3671015305910590,2024-07-30,Bank BCA,KK,25000000,13544068,792635,36,1,Lancar
SLK000870,3671015305910590,2026-02-25,Bank OCBC NISP,KPR,200000000,64053865,5878209,36,2,Dalam Perhatian Khusus (DPK)
SLK000871,3671015305910590,2025-08-06,Bank BNI,KMK,500000000,438579250,45200248,12,1,Lancar
SLK000872,3671014209770591,2024-09-02,Bank Danamon,KI,25000000,22595242,427717,60,3,Kurang Lancar
SLK000873,3271011307750592,2025-12-31,Bank OCBC NISP,KKB,75000000,20002607,2371832,36,1,Lancar
SLK000874,3271011307750592,2026-03-30,Bank BRI,KPR,200000000,128532285,6341460,36,2,Dalam Perhatian Khusus (DPK)
SLK000875,3271011307750592,2024-12-16,BPR Mitra Usaha,KI,500000000,377695388,11131097,48,1,Lancar
SLK000876,3174012502800593,2025-05-18,Bank Permata,KPR,150000000,70554756,2761983,60,1,Lancar
SLK000877,3174012502800593,2024-03-05,Bank BCA,KK,25000000,21255190,571439,48,1,Lancar
SLK000878,3174012502800593,2026-06-18,Bank BRI,KPR,100000000,72658516,9136260,12,1,Lancar
SLK000879,3671015310710594,2025-03-23,Bank Permata,KPR,50000000,22003491,2205023,24,1,Lancar
SLK000880,3671015310710594,2024-04-22,Bank Permata,KI,100000000,77075546,4395184,24,1,Lancar
SLK000881,3174012003740595,2025-09-02,Bank BCA,KKB,75000000,25627231,1795784,48,1,Lancar
SLK000882,3171015209840596,2024-06-22,Bank OCBC NISP,KMK,300000000,226032885,6447805,48,1,Lancar
SLK000883,3171015209840596,2026-02-24,Bank Danamon,KPR,50000000,36217706,865632,60,1,Lancar
SLK000884,3671010603810597,2025-07-01,Bank BNI,KKB,200000000,136404162,3597130,60,1,Lancar
SLK000885,3671010603810597,2024-06-25,Bank Panin,KMK,300000000,269446445,6838080,48,2,Dalam Perhatian Khusus (DPK)
SLK000886,3671014305660598,2026-06-08,Bank BNI,KPR,150000000,75437300,2788215,60,1,Lancar
SLK000887,3671014305660598,2024-05-04,Bank BNI,KPR,300000000,144851339,13738164,24,1,Lancar
SLK000888,3275016308820599,2024-01-25,Bank BNI,KI,300000000,169343170,6970307,48,1,Lancar
SLK000889,3175014409880600,2024-10-17,Bank Permata,KMK,200000000,94574094,9491298,24,1,Lancar
SLK000890,3174010902890601,2025-12-31,Bank OCBC NISP,KPR,200000000,88580792,6064478,36,1,Lancar
SLK000891,3174010902890601,2025-08-29,Bank Permata,KK,50000000,29417056,2355370,24,2,Dalam Perhatian Khusus (DPK)
SLK000892,3174014204660602,2025-03-27,Bank Danamon,KKB,50000000,38115488,1128881,48,1,Lancar
SLK000893,3275016202670603,2024-11-04,Bank CIMB Niaga,KKB,300000000,243421188,5721730,60,2,Dalam Perhatian Khusus (DPK)
SLK000894,3671015601970604,2025-12-17,Bank Danamon,KPR,200000000,133050670,4661213,48,1,Lancar
SLK000895,3671015601970604,2025-12-26,Bank CIMB Niaga,KK,500000000,303211187,15869991,36,1,Lancar
SLK000896,3275012002690605,2024-05-25,Bank BCA,KK,75000000,49059551,6871605,12,5,Macet
SLK000897,3671016007930606,2026-05-17,Bank OCBC NISP,KI,75000000,63415483,7180404,12,1,Lancar
SLK000898,3671016007930606,2025-09-21,Bank Panin,KI,300000000,122784537,9047985,36,4,Diragukan
SLK000899,3671016007930606,2024-04-18,Bank BRI,KPR,200000000,105959295,3720203,60,1,Lancar
SLK000900,3172016609880607,2026-07-16,Bank Danamon,KK,300000000,80599140,5598682,60,5,Macet
SLK000901,3172016609880607,2025-07-10,Bank OCBC NISP,KKB,100000000,30628640,9303036,12,3,Kurang Lancar
SLK000902,3172016609880607,2024-10-13,Bank Mandiri,KPR,75000000,54739302,1645799,48,2,Dalam Perhatian Khusus (DPK)
SLK000903,3174013107810608,2024-02-29,Bank BNI,KMK,300000000,253929738,6825698,48,1,Lancar
SLK000904,3174013107810608,2024-12-14,Bank BCA,KI,25000000,11745564,578777,48,1,Lancar
SLK000905,3171016802000609,2024-11-13,Bank Permata,KPR,300000000,119667128,5728586,60,1,Lancar
SLK000906,3174012509830610,2024-02-25,Bank Panin,KKB,50000000,12105136,937870,60,1,Lancar
SLK000907,3174012509830610,2024-11-26,Bank Permata,KK,75000000,26366465,1332354,60,1,Lancar
SLK000908,3674010612940611,2025-07-30,Bank Permata,KI,500000000,399568922,9373757,60,1,Lancar
SLK000909,3674010612940611,2025-07-12,Bank OCBC NISP,KPR,25000000,8668395,2150487,12,1,Lancar
SLK000910,3671014501980612,2024-10-27,Bank OCBC NISP,KKB,300000000,265191037,9167552,36,3,Kurang Lancar
SLK000911,3671013107900613,2024-03-21,Bank BNI,KPR,100000000,91524954,1784052,60,1,Lancar
SLK000912,3172010512840614,2024-03-29,Bank BRI,KPR,100000000,75799542,2131909,48,3,Kurang Lancar
SLK000913,3175014904830616,2026-02-01,Bank BNI,KK,200000000,109827208,8554828,24,1,Lancar
SLK000914,3271014511810617,2026-05-05,Bank BNI,KPR,100000000,27786118,8735534,12,1,Lancar
SLK000915,3674012410890618,2026-06-03,Bank BCA,KMK,75000000,66013711,1314303,60,1,Lancar
SLK000916,3671013108780619,2025-03-10,Bank Danamon,KKB,25000000,22804906,458902,60,1,Lancar
SLK000917,3671011611660620,2026-04-26,Bank BRI,KK,75000000,34046101,1429797,60,3,Kurang Lancar
SLK000918,3671011611660620,2026-01-17,BPR Mitra Usaha,KKB,150000000,113900492,4672222,36,2,Dalam Perhatian Khusus (DPK)
SLK000919,3271015610020621,2025-03-07,Bank Permata,KPR,300000000,95919566,25824101,12,2,Dalam Perhatian Khusus (DPK)
SLK000920,3271015610020621,2025-03-07,Bank BRI,KMK,50000000,26714720,1442695,36,4,Diragukan
SLK000921,3671014304020622,2026-06-16,Bank Permata,KKB,500000000,245973798,11677496,48,2,Dalam Perhatian Khusus (DPK)
SLK000922,3671014304020622,2025-10-08,Bank Mandiri,KI,150000000,39990841,3423419,48,1,Lancar
SLK000923,3671014304020622,2026-07-02,BPR Mitra Usaha,KI,50000000,17156849,1194937,48,1,Lancar
SLK000924,3671014104770623,2024-08-07,Bank Permata,KKB,200000000,52121358,9180988,24,2,Dalam Perhatian Khusus (DPK)
SLK000925,3671014104770623,2026-05-25,Bank OCBC NISP,KKB,200000000,48419738,3416449,60,1,Lancar
SLK000926,3671011203650624,2024-09-19,Bank CIMB Niaga,KMK,500000000,126635371,14933459,36,1,Lancar
SLK000927,3671011203650624,2024-02-04,Bank Panin,KPR,200000000,58896679,4751401,48,1,Lancar
SLK000928,3671012702950625,2024-07-26,BPR Mitra Usaha,KKB,25000000,13323079,724099,36,1,Lancar
SLK000929,3671012702950625,2026-07-12,Bank BCA,KMK,200000000,145834478,8786559,24,1,Lancar
SLK000930,3671012702950625,2025-06-16,Bank BRI,KMK,25000000,21687636,463342,60,2,Dalam Perhatian Khusus (DPK)
SLK000931,3173010306650626,2026-07-12,Bank Mandiri,KI,200000000,175920638,18575543,12,1,Lancar
SLK000932,3275010508770627,2025-11-18,Bank CIMB Niaga,KMK,500000000,453076092,8703728,60,1,Lancar
SLK000933,3172012507920629,2025-09-29,Bank BNI,KPR,150000000,100885558,2560085,60,1,Lancar
SLK000934,3172012507920629,2026-01-24,Bank Panin,KI,500000000,121520677,43816561,12,1,Lancar
SLK000935,3275014607950630,2025-05-03,Bank BCA,KKB,200000000,64092103,5848736,36,4,Diragukan
SLK000936,3275014607950630,2024-07-21,Bank BRI,KMK,150000000,60908816,3351393,48,4,Diragukan
SLK000937,3276014601800631,2024-08-04,Bank BCA,KMK,500000000,169937718,11698830,48,1,Lancar
SLK000938,3276014601800631,2025-03-23,Bank Permata,KKB,75000000,46037452,3264702,24,2,Dalam Perhatian Khusus (DPK)
SLK000939,3174010204660632,2024-10-15,Bank Permata,KPR,150000000,132318642,4581046,36,1,Lancar
SLK000940,3276010904680633,2024-04-08,Bank Panin,KPR,75000000,15285025,1328979,60,2,Dalam Perhatian Khusus (DPK)
SLK000941,3276010904680633,2025-05-01,Bank Panin,KK,500000000,166331102,9295502,60,4,Diragukan
SLK000942,3275010909920635,2025-05-25,BPR Mitra Usaha,KKB,300000000,256134504,13631067,24,1,Lancar
SLK000943,3173015503880636,2025-06-22,Bank Panin,KK,100000000,52383630,2155810,48,1,Lancar
SLK000944,3173015503880636,2024-11-07,Bank Danamon,KK,100000000,56850171,4749344,24,1,Lancar
SLK000945,3674010801880638,2025-10-02,Bank OCBC NISP,KK,300000000,108051676,13150896,24,1,Lancar
SLK000946,3671016907670639,2026-01-20,Bank Danamon,KKB,25000000,23747589,454416,60,1,Lancar
SLK000947,3671016907670639,2025-12-18,BPR Mitra Usaha,KKB,50000000,40485736,1472253,36,3,Kurang Lancar
SLK000948,3671010203960640,2024-03-28,Bank BCA,KPR,25000000,5874527,444160,60,2,Dalam Perhatian Khusus (DPK)
SLK000949,3671010203960640,2026-06-13,BPR Mitra Usaha,KMK,300000000,91141125,9168254,36,1,Lancar
SLK000950,3275014104870641,2025-04-14,BPR Mitra Usaha,KPR,500000000,248376809,21842768,24,2,Dalam Perhatian Khusus (DPK)
SLK000951,3275014104870641,2025-03-02,Bank BCA,KK,200000000,154397963,5691093,36,1,Lancar
SLK000952,3275014104870641,2024-02-25,Bank Permata,KK,200000000,57195721,4472410,48,4,Diragukan
SLK000953,3674015803740642,2025-12-26,Bank BRI,KI,75000000,26199503,1724639,48,1,Lancar
SLK000954,3172010505990643,2025-10-15,BPR Mitra Usaha,KPR,200000000,59447560,3653497,60,1,Lancar
SLK000955,3171011710730644,2024-04-08,Bank Mandiri,KK,25000000,13049279,1115154,24,2,Dalam Perhatian Khusus (DPK)
SLK000956,3674015010750645,2026-05-30,Bank BNI,KI,75000000,54468170,1306093,60,1,Lancar
SLK000957,3674015010750645,2026-02-19,Bank OCBC NISP,KK,300000000,151516624,9495318,36,1,Lancar
SLK000958,3171012111880646,2025-02-11,Bank Permata,KK,500000000,192882579,14655681,36,1,Lancar
SLK000959,3171012111880646,2026-05-27,Bank Permata,KK,200000000,136603482,6027763,36,1,Lancar
SLK000960,3171012111880646,2025-11-07,BPR Mitra Usaha,KK,100000000,84903170,2219818,48,1,Lancar
SLK000961,3276011309790647,2025-06-21,Bank CIMB Niaga,KI,100000000,68908314,1748109,60,4,Diragukan
SLK000962,3271016701910649,2024-01-19,Bank Mandiri,KI,500000000,105665292,9070964,60,2,Dalam Perhatian Khusus (DPK)
SLK000963,3173016412870651,2024-07-10,Bank Permata,KPR,100000000,68542829,2974455,36,1,Lancar
SLK000964,3173016806750652,2024-03-02,Bank BNI,KMK,150000000,38942821,4334949,36,3,Kurang Lancar
SLK000965,3173016806750652,2026-06-18,Bank Danamon,KI,100000000,71171534,3106095,36,2,Dalam Perhatian Khusus (DPK)
SLK000966,3174015403680653,2024-09-24,Bank BCA,KMK,300000000,123259088,13218255,24,1,Lancar
SLK000967,3671016107730654,2024-10-06,Bank BRI,KMK,75000000,28808481,2153241,36,3,Kurang Lancar
SLK000968,3671014503860655,2026-01-21,Bank OCBC NISP,KKB,100000000,34548515,2129068,48,1,Lancar
SLK000969,3671014503860655,2025-01-17,Bank BCA,KI,150000000,44578394,3456855,48,4,Diragukan
SLK000970,3276016703840656,2024-08-09,Bank Danamon,KI,100000000,45037364,1786808,60,1,Lancar
SLK000971,3271017003800657,2026-05-09,BPR Mitra Usaha,KPR,100000000,36837101,4668980,24,4,Diragukan
SLK000972,3271017003800657,2025-09-06,Bank Danamon,KKB,100000000,58279671,1912659,60,4,Diragukan
SLK000973,3175012806900658,2025-03-23,Bank Mandiri,KI,150000000,65725290,2551421,60,5,Macet
SLK000974,3175012806900658,2025-12-30,BPR Mitra Usaha,KKB,50000000,46772920,957797,60,1,Lancar
SLK000975,3175012806900658,2026-06-02,Bank BCA,KMK,25000000,9750477,713781,36,1,Lancar
SLK000976,3671014803690659,2025-07-06,Bank CIMB Niaga,KK,150000000,80393476,3263988,48,1,Lancar
SLK000977,3671014803690659,2024-06-17,BPR Mitra Usaha,KKB,50000000,20227158,1078505,48,1,Lancar
SLK000978,3276011606750660,2024-02-25,Bank CIMB Niaga,KPR,300000000,80867353,27082666,12,1,Lancar
SLK000979,3276012012690661,2024-07-29,Bank Panin,KKB,25000000,6861127,723241,36,5,Macet
SLK000980,3276012012690661,2025-07-09,Bank OCBC NISP,KKB,200000000,164329385,9496247,24,1,Lancar
SLK000981,3276012012690661,2024-03-12,Bank BRI,KK,200000000,174294222,4377559,48,1,Lancar
SLK000982,3671014308880663,2025-04-04,Bank Permata,KKB,25000000,9169740,440481,60,1,Lancar
SLK000983,3671014308880663,2025-01-20,Bank BRI,KMK,500000000,328026417,11513353,48,3,Kurang Lancar
SLK000984,3671014308880663,2025-10-13,Bank BNI,KPR,200000000,104850691,17740708,12,1,Lancar
SLK000985,3671015807820664,2024-11-03,Bank Danamon,KKB,50000000,25966820,1086563,48,5,Macet
SLK000986,3171010102720665,2026-02-07,Bank BCA,KPR,75000000,45339818,2273093,36,1,Lancar
SLK000987,3171010102720665,2026-01-08,Bank BNI,KMK,50000000,20349363,910298,60,2,Dalam Perhatian Khusus (DPK)
SLK000988,3172016105990666,2024-12-18,Bank BNI,KK,200000000,163521456,3824545,60,2,Dalam Perhatian Khusus (DPK)
SLK000989,3671010502820667,2025-10-03,Bank BNI,KPR,25000000,7819967,750232,36,1,Lancar
SLK000990,3671010502820667,2025-07-25,BPR Mitra Usaha,KK,75000000,50890211,1342028,60,4,Diragukan
SLK000991,3671013009860668,2025-12-31,Bank Danamon,KI,100000000,40680969,4744073,24,3,Kurang Lancar
SLK000992,3671011312720669,2026-08-10,Bank BCA,KI,100000000,68201943,2159109,48,1,Lancar
SLK000993,3671011312720669,2026-06-10,Bank Mandiri,KMK,50000000,45193568,868738,60,3,Kurang Lancar
SLK000994,3671011312720669,2025-06-16,Bank Danamon,KK,200000000,88146360,8619431,24,1,Lancar
SLK000995,3276016009740670,2026-08-02,Bank Mandiri,KPR,100000000,33817184,2904687,36,1,Lancar
SLK000996,3276016009740670,2024-02-18,Bank Mandiri,KI,50000000,35297283,4496657,12,1,Lancar
SLK000997,3276016009740670,2024-10-13,Bank BCA,KKB,200000000,85612724,5846259,36,2,Dalam Perhatian Khusus (DPK)
SLK000998,3275014111910671,2024-02-02,Bank BNI,KKB,25000000,19851983,592322,48,1,Lancar
SLK000999,3275014111910671,2026-01-03,Bank CIMB Niaga,KI,100000000,74687502,2967390,36,1,Lancar
SLK001000,3271015903900673,2026-06-24,Bank BNI,KKB,500000000,274934110,14657381,36,3,Kurang Lancar
SLK001001,3271015903900673,2026-01-10,Bank BNI,KI,50000000,32815121,1563344,36,1,Lancar
SLK001002,3174011501830674,2024-03-20,Bank BNI,KPR,500000000,296533737,15487827,36,2,Dalam Perhatian Khusus (DPK)
SLK001003,3173015207780675,2026-04-16,Bank BRI,KPR,150000000,140179779,4426582,36,1,Lancar
SLK001004,3173015207780675,2024-03-05,Bank CIMB Niaga,KKB,100000000,62465918,2216266,48,3,Kurang Lancar
SLK001005,3671014208870677,2024-05-06,Bank Panin,KK,200000000,43297406,4783799,48,1,Lancar
SLK001006,3171012010810678,2026-07-09,Bank OCBC NISP,KKB,200000000,58277537,3594797,60,2,Dalam Perhatian Khusus (DPK)
SLK001007,3171012010810678,2024-06-15,Bank BCA,KKB,75000000,22287397,6644743,12,3,Kurang Lancar
SLK001008,3171012010810678,2026-03-13,Bank OCBC NISP,KK,25000000,7977055,711933,36,1,Lancar
SLK001009,3175017103790679,2026-05-24,Bank CIMB Niaga,KI,25000000,10547209,447373,60,1,Lancar
SLK001010,3175017103790679,2025-10-19,BPR Mitra Usaha,KI,100000000,33120988,4636646,24,3,Kurang Lancar
SLK001011,3671017110940680,2024-04-10,Bank Mandiri,KMK,150000000,111727979,3243946,48,3,Kurang Lancar
SLK001012,3671017110940680,2025-05-21,Bank BRI,KKB,75000000,59612683,6389325,12,1,Lancar
SLK001013,3671017110940680,2026-07-02,Bank CIMB Niaga,KK,300000000,250851554,13825950,24,1,Lancar
SLK001014,3171010405670681,2026-02-24,Bank BRI,KMK,150000000,98924390,13918331,12,1,Lancar
SLK001015,3171010405670681,2025-12-26,Bank Danamon,KMK,100000000,54743310,4443410,24,2,Dalam Perhatian Khusus (DPK)
SLK001016,3175011211820683,2026-07-13,Bank OCBC NISP,KPR,200000000,142635883,18480554,12,1,Lancar
SLK001017,3276015910890684,2024-01-21,Bank OCBC NISP,KK,25000000,21538447,582146,48,1,Lancar
SLK001018,3276015910890684,2025-03-07,Bank BNI,KMK,500000000,171741481,47869970,12,1,Lancar
SLK001019,3671011210730685,2024-08-18,Bank BRI,KPR,200000000,102867432,3592222,60,1,Lancar
SLK001020,3674016310780686,2025-12-04,Bank Mandiri,KPR,100000000,51236780,3049710,36,1,Lancar
SLK001021,3271016903960687,2025-08-23,Bank Permata,KMK,25000000,12903675,547310,48,3,Kurang Lancar
SLK001022,3271016903960687,2025-09-29,Bank Permata,KPR,200000000,75239239,19159206,12,2,Dalam Perhatian Khusus (DPK)
SLK001023,3671012109760688,2024-04-04,BPR Mitra Usaha,KKB,300000000,223189298,5423522,60,1,Lancar
SLK001024,3671012109760688,2025-02-05,Bank BRI,KKB,50000000,19816805,893323,60,1,Lancar
SLK001025,3671014504880689,2024-04-04,Bank CIMB Niaga,KPR,300000000,225477881,7050108,48,4,Diragukan
SLK001026,3671016611690690,2025-05-10,Bank Mandiri,KKB,25000000,16164790,448750,60,2,Dalam Perhatian Khusus (DPK)
SLK001027,3671016611690690,2024-11-20,Bank Panin,KKB,25000000,11329040,1141116,24,1,Lancar
SLK001028,3671016611690690,2026-03-08,Bank Panin,KKB,200000000,187849903,5706826,36,2,Dalam Perhatian Khusus (DPK)
SLK001029,3174011902680691,2024-06-15,Bank BNI,KKB,200000000,99339877,3497217,60,4,Diragukan
SLK001030,3174011902680691,2025-06-07,Bank Danamon,KKB,50000000,42478529,4290950,12,1,Lancar
SLK001031,3275012007930693,2025-04-18,Bank BCA,KKB,500000000,376098537,47759741,12,1,Lancar
SLK001032,3275012007930693,2024-05-05,Bank BRI,KMK,500000000,150164225,45753405,12,1,Lancar
SLK001033,3275012007930693,2025-08-12,BPR Mitra Usaha,KK,500000000,400492099,9204343,60,1,Lancar
SLK001034,3674010803950694,2024-07-18,BPR Mitra Usaha,KMK,50000000,18054227,853308,60,1,Lancar
SLK001035,3674010803950694,2025-05-19,Bank Permata,KKB,150000000,50507910,13123536,12,1,Lancar
SLK001036,3674016503860695,2024-01-02,Bank OCBC NISP,KMK,150000000,66321743,6422249,24,2,Dalam Perhatian Khusus (DPK)
SLK001037,3674016503860695,2024-01-02,Bank BRI,KI,150000000,128650313,3325493,48,1,Lancar
SLK001038,3674016503860695,2025-10-24,Bank OCBC NISP,KK,25000000,5279918,583638,48,1,Lancar
SLK001039,3175015004850697,2026-06-01,Bank Permata,KI,100000000,54796039,3088875,36,1,Lancar
SLK001040,3175015004850697,2026-01-24,Bank CIMB Niaga,KPR,50000000,17908386,881052,60,2,Dalam Perhatian Khusus (DPK)
SLK001041,3671017105950698,2024-12-10,Bank BRI,KKB,200000000,164805571,4655810,48,1,Lancar
SLK001042,3671017105950698,2025-06-01,Bank CIMB Niaga,KI,200000000,106744998,3538741,60,1,Lancar
SLK001043,3276010812960699,2024-01-01,Bank Mandiri,KI,300000000,237332403,28128405,12,2,Dalam Perhatian Khusus (DPK)
SLK001044,3276010812960699,2025-09-12,Bank Panin,KKB,25000000,16166575,583321,48,1,Lancar
SLK001045,3276010812960699,2025-05-27,Bank Mandiri,KKB,75000000,46911166,1356247,60,1,Lancar
SLK001046,3671015607720700,2026-03-12,Bank CIMB Niaga,KKB,25000000,13975998,2362306,12,1,Lancar
SLK001047,3671015607720700,2026-07-08,Bank Danamon,KK,50000000,22830299,855792,60,1,Lancar
SLK001048,3671011003720701,2024-11-10,BPR Mitra Usaha,KMK,150000000,38871250,6605933,24,3,Kurang Lancar
SLK001049,3276014211900702,2025-11-05,Bank Panin,KKB,300000000,170662876,6812669,48,3,Kurang Lancar
SLK001050,3671014101030704,2025-07-09,Bank CIMB Niaga,KK,50000000,39426791,4490097,12,1,Lancar
SLK001051,3276014406870705,2025-10-28,Bank Panin,KKB,500000000,473231276,44273830,12,1,Lancar
SLK001052,3276014406870705,2025-12-14,Bank CIMB Niaga,KK,75000000,29546027,6735258,12,1,Lancar
SLK001053,3671016304930706,2025-12-28,Bank BNI,KI,150000000,69305777,3423575,48,1,Lancar
SLK001054,3671016304930706,2024-01-08,Bank BNI,KK,500000000,245208739,11208296,48,3,Kurang Lancar
SLK001055,3171010806030707,2024-05-24,Bank BRI,KKB,75000000,42735505,3343506,24,1,Lancar
SLK001056,3674015807820708,2025-07-20,Bank Permata,KK,200000000,92611134,4560743,48,5,Macet
SLK001057,3674011405940709,2025-04-27,Bank Mandiri,KI,75000000,20152051,3464596,24,1,Lancar
SLK001058,3674011405940709,2025-04-26,Bank Danamon,KPR,500000000,419687591,46338736,12,3,Kurang Lancar
SLK001059,3674011405940709,2026-01-25,Bank OCBC NISP,KK,75000000,37550249,6880335,12,4,Diragukan
SLK001060,3175012607970710,2025-01-11,Bank CIMB Niaga,KPR,100000000,45566429,9089257,12,2,Dalam Perhatian Khusus (DPK)
SLK001061,3172014103940711,2025-05-10,Bank Permata,KPR,25000000,10482584,735292,36,1,Lancar
SLK001062,3172014103940711,2024-08-07,Bank Mandiri,KK,150000000,102640560,3281881,48,1,Lancar
SLK001063,3671015404940712,2024-05-26,Bank CIMB Niaga,KKB,150000000,45221370,4685377,36,1,Lancar
