rm_id,rm_name,branch_name,region,jabatan,level,kapasitas_max_nasabah,join_date
RM0195,Krisna Lubis,KCP Bintaro,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,7,2017-02-18
RM0196,Bambang Panjaitan,KC Bogor,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,9,2018-06-27
RM0197,Ika Nugroho,KC Bogor,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,20,2024-07-15
RM0198,Bambang Rahman,KC Bogor,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,25,2023-01-28
RM0199,Bambang Permana,KC Bogor,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,6,2025-12-05
RM0200,Bambang Santoso,KCP Bogor Baru,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,17,2024-03-22
RM0201,Dewi Pratama,KCP Bogor Baru,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,7,2018-09-11
RM0202,Rizky Tanjung,KCP Bogor Baru,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,18,2022-11-26
RM0203,Dian Suryadi,KCP Bogor Baru,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,24,2021-08-19
RM0204,Rizky Pratama,KCP Cibinong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,24,2015-10-16
RM0205,Ratna Kusuma,KCP Cibinong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,5,2023-08-17
RM0206,Putri Santoso,KCP Cibinong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,15,2017-01-13
RM0207,Anggi Kurniawan,KCP Dramaga,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,12,2025-02-21
RM0208,Fauzi Rahman,KCP Dramaga,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,12,2023-05-13
RM0209,Anton Kurniawan,KCP Dramaga,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,12,2017-12-24
RM0210,Andi Lubis,KCP Dramaga,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,12,2023-01-11
RM0211,Eko Hutapea,KCP Depok Margonda,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,22,2016-12-06
RM0212,Sri Wijaya,KCP Depok Margonda,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,13,2022-10-18
RM0213,Eko Lubis,KCP Depok Margonda,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,18,2024-01-14
RM0214,Doni Panjaitan,KCP Depok Margonda,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,15,2025-07-20
RM0215,Dimas Suryadi,KCP Depok Margonda,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,18,2023-05-18
RM0216,Lina Pratama,KCP Depok Margonda,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,23,2018-09-11
RM0217,Lina Wijaya,KCP Depok Margonda,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,12,2017-06-15
RM0218,Ani Setiawan,KCP Depok Margonda,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,11,2016-02-15
RM0219,Ahmad Kusuma,KCP Depok Beji,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,15,2024-11-08
RM0220,Lina Halim,KCP Depok Beji,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,5,2021-11-19
RM0221,Ayu Kurniawan,KCP Depok Beji,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,5,2018-07-10
RM0222,Fajar Santoso,KCP Sawangan,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,6,2020-08-07
RM0223,Lestari Lubis,KCP Sawangan,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,8,2023-07-11
RM0224,Rina Siregar,KCP Sawangan,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,12,2017-06-25
RM0225,Ayu Santoso,KCP Sawangan,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,14,2020-11-08
RM0226,Kartika Gunawan,KCP Sawangan,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,6,2024-06-08
RM0227,Siti Nugroho,KC Kramat,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,14,2023-03-14
RM0228,Putri Situmorang,KC Kramat,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,9,2019-09-02
RM0229,Bayu Handoko,KC Kramat,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,25,2016-12-02
RM0230,Krisna Saputra,KC Kramat,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,14,2018-12-15
RM0231,Novi Rahman,KC Kramat,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,17,2025-09-25
RM0232,Kartika Setiawan,KC Kramat,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,23,2023-08-09
RM0233,Joko Saputra,KC Kramat,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,21,2022-04-26
RM0234,Bambang Wibowo,KCP Rawamangun,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,13,2023-05-15
RM0235,Joko Panjaitan,KCP Rawamangun,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,15,2015-07-15
RM0236,Desi Santoso,KCP Rawamangun,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,23,2016-10-19
RM0237,Rizky Panjaitan,KCP Rawamangun,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,14,2022-12-01
RM0238,Budi Suryadi,KCP Rawamangun,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,11,2019-08-02
RM0239,Krisna Santoso,KCP Rawamangun,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,15,2020-09-28
RM0240,Suryani Wibowo,KCP Cawang,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,17,2022-04-13
RM0241,Fitri Handoko,KCP Cawang,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,7,2025-01-25
RM0242,Sri Wibowo,KCP Cawang,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,8,2016-06-13
RM0243,Putri Wijaya,KCP Cawang,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,12,2018-04-02
RM0244,Dian Halim,KCP Cawang,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,10,2025-05-28
RM0245,Rian Saputra,KCP Cawang,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,17,2018-03-31
RM0246,Gunawan Wijaya,KCP Jatinegara,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,13,2021-04-12
RM0247,Melati Kusuma,KCP Jatinegara,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,19,2017-06-22
RM0248,Kartika Saputra,KCP Jatinegara,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,18,2018-07-20
RM0249,Fitri Siregar,KCP Jatinegara,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,11,2025-12-25
RM0250,Yusuf Susanto,KCP Jatinegara,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,12,2020-07-25
RM0251,Joko Siregar,KCP Jatinegara,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,24,2022-02-23
RM0252,Ahmad Pratama,KCP Jatinegara,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,17,2019-01-04
RM0253,Budi Nugroho,KCP Jatinegara,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,23,2023-11-19
RM0254,Dian Pratama,KCP Kramat Jati,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,7,2018-11-13
RM0255,Dimas Panjaitan,KCP Kramat Jati,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,15,2018-10-12
RM0256,Sutrisno Handoko,KCP Kramat Jati,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,14,2016-05-09
RM0257,Anton Tanjung,KCP Kramat Jati,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,19,2016-12-24
RM0258,Novi Tanjung,KCP Kramat Jati,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,6,2024-02-23
RM0259,Anton Firmansyah,KCP Pulo Gadung,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,8,2023-01-18
RM0260,Irfan Permana,KCP Pulo Gadung,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,9,2024-05-29
RM0261,Nina Panjaitan,KCP Pulo Gadung,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,7,2022-01-15
RM0262,Novi Halim,KC Bekasi,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,17,2022-09-21
RM0263,Rudi Simanjuntak,KC Bekasi,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,6,2015-10-17
RM0264,Fauzi Permana,KC Bekasi,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,11,2017-04-14
RM0265,Dedi Setiawan,KC Bekasi,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,12,2021-04-26
RM0266,Rudi Saputra,KC Bekasi,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,6,2015-08-13
RM0267,Joko Halim,KCP Bekasi Timur,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,19,2021-07-01
RM0268,Doni Nugroho,KCP Bekasi Timur,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,15,2023-12-16
RM0269,Bayu Wibowo,KCP Bekasi Timur,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,9,2022-12-05
RM0270,Novi Rahman,KCP Bekasi Timur,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,14,2018-03-16
RM0271,Anton Wibowo,KCP Bekasi Timur,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,10,2024-06-18
RM0272,Rizky Siregar,KCP Bekasi Timur,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,9,2020-02-22
RM0273,Budi Handoko,KCP Bekasi Timur,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,16,2015-11-28
RM0274,Agus Tanjung,KCP Bekasi Timur,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,7,2023-10-08
RM0275,Bayu Hutapea,KCP Cikarang,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,7,2022-11-01
RM0276,Fitri Tanjung,KCP Cikarang,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,8,2017-03-01
RM0277,Fajar Santoso,KCP Cikarang,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,6,2015-03-01
RM0278,Ani Simanjuntak,KCP Cikarang,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,21,2024-01-08
RM0279,Andi Hidayat,KCP Jababeka,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,23,2018-12-25
RM0280,Hendra Pratama,KCP Jababeka,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,13,2017-03-28
RM0281,Fitri Rahman,KCP Jababeka,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Junior RB,6,2016-07-09
RM0282,Ratna Tanjung,KCP Jababeka,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,24,2016-08-01
RM0283,Yudi Gunawan,KCP Jababeka,Kantor Wilayah 15 Jakarta Kemayoran,Relationship Banking Officer,Senior RB,13,2018-07-09
