dukcapil_id,NIK,nama,tempat_lahir,tanggal_lahir,jenis_kelamin,golongan_darah,alamat,rt_rw,kelurahan_desa,kecamatan,kota_kabupaten,provinsi,agama,status_perkawinan,pekerjaan,kewarganegaraan,berlaku_hingga
DKC000756,3276013105850756,Dedi Kurniawan,Depok,1985-05-31,Laki-Laki,O,Jl. Saputra No. 135,003/001,Sukajadi,Bekasi Timur,Depok,Jawa Barat,HINDU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000757,3671010612700757,Fauzi Santoso,Tangerang,1970-12-06,Laki-Laki,B,Jl. Situmorang No. 22,005/003,Sukamaju,Tebet,Tangerang,Banten,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000758,3674013107010758,Yusuf Setiawan,Tangerang Selatan,2001-07-31,Laki-Laki,B,Jl. Susanto No. 85,008/003,Kebon Baru,Tebet,Tangerang Selatan,Jawa Barat,BUDDHA,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000759,3172012404780759,Budi Wijaya,Jakarta Utara,1978-04-24,Laki-Laki,A,Jl. Kusuma No. 107,003/001,Kebon Baru,Tebet,Jakarta Utara,DKI Jakarta,KRISTEN,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000760,3671015802750760,Wulan Halim,Tangerang,1975-02-18,Perempuan,O,Jl. Lubis No. 29,008/003,Sukajadi,Kramat Jati,Tangerang,Banten,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000761,3275014403810761,Rina Simanjuntak,Bekasi,1981-03-04,Perempuan,A,Jl. Wijaya No. 39,003/007,Rawa Bunga,Sukmajaya,Bekasi,Jawa Barat,KRISTEN,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000762,3671011001930762,Bayu Lubis,Tangerang,1993-01-10,Laki-Laki,AB,Jl. Halim No. 27,005/008,Rawa Bunga,Cengkareng,Tangerang,Banten,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000763,3671011505790763,Irfan Setiawan,Tangerang,1979-05-15,Laki-Laki,B,Jl. Wibowo No. 115,012/008,Sukajadi,Tebet,Tangerang,Banten,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000764,3276016702730764,Wulan Kurniawan,Depok,1973-02-27,Perempuan,O,Jl. Halim No. 82,008/007,Bintaro,Serpong,Depok,Jawa Barat,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000765,3173011310830765,Yudi Tanjung,Jakarta Barat,1983-10-13,Laki-Laki,O,Jl. Rahman No. 137,008/009,Kebon Baru,Bekasi Timur,Jakarta Barat,DKI Jakarta,ISLAM,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000766,3175011602650766,Anton Kurniawan,Jakarta Timur,1965-02-16,Laki-Laki,B,Jl. Santoso No. 93,009/008,Cempaka Putih,Tebet,Jakarta Timur,DKI Jakarta,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000767,3175016708850767,Anggi Situmorang,Jakarta Timur,1985-08-27,Perempuan,B,Jl. Rahman No. 108,004/004,Kebon Baru,Tebet,Jakarta Timur,DKI Jakarta,KONGHUCU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000768,3173011911970768,Anton Hutapea,Jakarta Barat,1997-11-19,Laki-Laki,A,Jl. Hutapea No. 109,006/001,Sukajadi,Serpong,Jakarta Barat,DKI Jakarta,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000769,3174014408710769,Kartika Simanjuntak,Jakarta Selatan,1971-08-04,Perempuan,AB,Jl. Setiawan No. 21,004/002,Sukamaju,Sukmajaya,Jakarta Selatan,DKI Jakarta,HINDU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000770,3172010305960770,Ahmad Panjaitan,Jakarta Utara,1996-05-03,Laki-Laki,AB,Jl. Handoko No. 106,012/006,Bintaro,Serpong,Jakarta Utara,DKI Jakarta,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000771,3174014702920771,Ani Setiawan,Jakarta Selatan,1992-02-07,Perempuan,B,Jl. Kusuma No. 42,001/007,Cipete,Serpong,Jakarta Selatan,DKI Jakarta,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000772,3276015203770772,Lina Nugroho,Depok,1977-03-12,Perempuan,A,Jl. Kusuma No. 97,003/004,Cipete,Sukmajaya,Depok,Jawa Barat,ISLAM,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000773,3671015808010773,Sri Panjaitan,Tangerang,2001-08-18,Perempuan,O,Jl. Handoko No. 81,011/007,Cipete,Kramat Jati,Tangerang,Banten,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000774,3174016806680774,Yuni Firmansyah,Jakarta Selatan,1968-06-28,Perempuan,AB,Jl. Simanjuntak No. 86,001/004,Duren Sawit,Kramat Jati,Jakarta Selatan,DKI Jakarta,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000775,3175010306730775,Yusuf Simanjuntak,Jakarta Timur,1973-06-03,Laki-Laki,B,Jl. Tanjung No. 9,004/005,Sukajadi,Sukmajaya,Jakarta Timur,DKI Jakarta,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000776,3275014511780776,Dewi Wijaya,Bekasi,1978-11-05,Perempuan,A,Jl. Halim No. 73,007/009,Kebon Baru,Cengkareng,Bekasi,Jawa Barat,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000777,3175010904830777,Anton Lubis,Jakarta Timur,1983-04-09,Laki-Laki,A,Jl. Kusuma No. 39,001/010,Cipete,Bekasi Timur,Jakarta Timur,DKI Jakarta,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000778,3671015407680778,Sri Setiawan,Tangerang,1968-07-14,Perempuan,A,Jl. Hutapea No. 60,004/003,Cempaka Putih,Sukmajaya,Tangerang,Banten,BUDDHA,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000779,3271014103810779,Retno Setiawan,Bogor,1981-03-01,Perempuan,O,Jl. Wijaya No. 100,004/004,Sukajadi,Kramat Jati,Bogor,Jawa Barat,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000780,3175011807890780,Yudi Santoso,Jakarta Timur,1989-07-18,Laki-Laki,A,Jl. Handoko No. 25,008/006,Cempaka Putih,Cengkareng,Jakarta Timur,DKI Jakarta,KRISTEN,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000781,3275015103680781,Rita Halim,Bekasi,1968-03-11,Perempuan,B,Jl. Hutapea No. 118,005/008,Duren Sawit,Bekasi Timur,Bekasi,Jawa Barat,KONGHUCU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000782,3175011407030782,Taufik Handoko,Jakarta Timur,2003-07-14,Laki-Laki,AB,Jl. Wibowo No. 105,010/003,Bintaro,Cengkareng,Jakarta Timur,DKI Jakarta,BUDDHA,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000783,3674015610760783,Rina Lubis,Tangerang Selatan,1976-10-16,Perempuan,A,Jl. Simanjuntak No. 15,012/004,Sukamaju,Kramat Jati,Tangerang Selatan,Jawa Barat,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000784,3275014301750784,Sri Siregar,Bekasi,1975-01-03,Perempuan,O,Jl. Suryadi No. 24,006/008,Bintaro,Serpong,Bekasi,Jawa Barat,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000785,3671012210820785,Andi Pratama,Tangerang,1982-10-22,Laki-Laki,O,Jl. Hidayat No. 103,006/002,Rawa Bunga,Cengkareng,Tangerang,Banten,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000786,3275012706770786,Anton Panjaitan,Bekasi,1977-06-27,Laki-Laki,O,Jl. Wijaya No. 140,003/008,Cempaka Putih,Serpong,Bekasi,Jawa Barat,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000787,3275010904010787,Iwan Situmorang,Bekasi,2001-04-09,Laki-Laki,AB,Jl. Permana No. 122,004/001,Kebon Baru,Tebet,Bekasi,Jawa Barat,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000788,3174015205710788,Indah Tanjung,Jakarta Selatan,1971-05-12,Perempuan,A,Jl. Firmansyah No. 104,002/005,Bintaro,Bekasi Timur,Jakarta Selatan,DKI Jakarta,BUDDHA,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000789,3173014505800789,Sri Wijaya,Jakarta Barat,1980-05-05,Perempuan,AB,Jl. Pratama No. 51,006/007,Bintaro,Bekasi Timur,Jakarta Barat,DKI Jakarta,BUDDHA,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000790,3671014212010790,Maya Hutapea,Tangerang,2001-12-02,Perempuan,A,Jl. Rahman No. 51,002/010,Cempaka Putih,Cengkareng,Tangerang,Banten,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000791,3173011303790791,Dedi Suryadi,Jakarta Barat,1979-03-13,Laki-Laki,A,Jl. Lubis No. 105,005/009,Sukamaju,Bekasi Timur,Jakarta Barat,DKI Jakarta,KRISTEN,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000792,3671010711830792,Agus Hidayat,Tangerang,1983-11-07,Laki-Laki,B,Jl. Simanjuntak No. 97,004/006,Kebon Baru,Kramat Jati,Tangerang,Banten,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000793,3175014910780793,Kartika Halim,Jakarta Timur,1978-10-09,Perempuan,A,Jl. Hutapea No. 128,011/008,Cipete,Bekasi Timur,Jakarta Timur,DKI Jakarta,KATOLIK,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000794,3275016011720794,Ayu Situmorang,Bekasi,1972-11-20,Perempuan,O,Jl. Permana No. 96,003/009,Cempaka Putih,Sukmajaya,Bekasi,Jawa Barat,HINDU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000795,3671015206930795,Anggi Lubis,Tangerang,1993-06-12,Perempuan,AB,Jl. Hutapea No. 26,002/002,Sukajadi,Serpong,Tangerang,Banten,ISLAM,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000796,3671010206930796,Ahmad Panjaitan,Tangerang,1993-06-02,Laki-Laki,O,Jl. Kusuma No. 149,001/005,Cipete,Kramat Jati,Tangerang,Banten,KRISTEN,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000797,3275016309800797,Ani Hidayat,Bekasi,1980-09-23,Perempuan,O,Jl. Permana No. 102,001/006,Kebon Baru,Sukmajaya,Bekasi,Jawa Barat,KATOLIK,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000798,3671015003650798,Lestari Permana,Tangerang,1965-03-10,Perempuan,O,Jl. Wijaya No. 4,001/003,Rawa Bunga,Sukmajaya,Tangerang,Banten,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000799,3276014612890799,Sri Siregar,Depok,1989-12-06,Perempuan,O,Jl. Hidayat No. 101,001/010,Cipete,Kramat Jati,Depok,Jawa Barat,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000800,3671011508840800,Slamet Gunawan,Tangerang,1984-08-15,Laki-Laki,B,Jl. Saputra No. 33,009/002,Cipete,Serpong,Tangerang,Banten,KATOLIK,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000801,3174015508840801,Yuni Kurniawan,Jakarta Selatan,1984-08-15,Perempuan,A,Jl. Tanjung No. 40,001/010,Sukajadi,Sukmajaya,Jakarta Selatan,DKI Jakarta,HINDU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000802,3671011505730802,Hadi Tanjung,Tangerang,1973-05-15,Laki-Laki,B,Jl. Tanjung No. 57,005/004,Kebon Baru,Serpong,Tangerang,Banten,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000803,3174012108930803,Wahyu Kurniawan,Jakarta Selatan,1993-08-21,Laki-Laki,A,Jl. Saputra No. 118,010/002,Sukajadi,Kramat Jati,Jakarta Selatan,DKI Jakarta,KATOLIK,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000804,3271010908020804,Andi Kurniawan,Bogor,2002-08-09,Laki-Laki,B,Jl. Wibowo No. 26,008/001,Cipete,Tebet,Bogor,Jawa Barat,HINDU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000805,3271010306930805,Sutrisno Permana,Bogor,1993-06-03,Laki-Laki,O,Jl. Pratama No. 47,005/001,Cempaka Putih,Serpong,Bogor,Jawa Barat,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000806,3275010902720806,Eko Halim,Bekasi,1972-02-09,Laki-Laki,AB,Jl. Saputra No. 50,010/001,Sukamaju,Sukmajaya,Bekasi,Jawa Barat,BUDDHA,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000807,3171012904660807,Irfan Halim,Jakarta Pusat,1966-04-29,Laki-Laki,AB,Jl. Setiawan No. 57,002/003,Duren Sawit,Cengkareng,Jakarta Pusat,DKI Jakarta,HINDU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000808,3671011412850808,Rudi Hutapea,Tangerang,1985-12-14,Laki-Laki,O,Jl. Permana No. 132,007/004,Duren Sawit,Kramat Jati,Tangerang,Banten,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000809,3671014706720809,Ani Siregar,Tangerang,1972-06-07,Perempuan,B,Jl. Panjaitan No. 125,007/008,Cipete,Sukmajaya,Tangerang,Banten,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000810,3671014404840810,Nina Saputra,Tangerang,1984-04-04,Perempuan,B,Jl. Siregar No. 91,006/002,Bintaro,Kramat Jati,Tangerang,Banten,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000811,3671015311820811,Lestari Simanjuntak,Tangerang,1982-11-13,Perempuan,A,Jl. Saputra No. 47,006/007,Cempaka Putih,Cengkareng,Tangerang,Banten,KRISTEN,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000812,3276012012990812,Sutrisno Halim,Depok,1999-12-20,Laki-Laki,AB,Jl. Saputra No. 3,006/001,Rawa Bunga,Kramat Jati,Depok,Jawa Barat,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000813,3271013012910813,Arif Kurniawan,Bogor,1991-12-30,Laki-Laki,B,Jl. Kusuma No. 56,002/009,Duren Sawit,Serpong,Bogor,Jawa Barat,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000814,3271016706010814,Yanti Situmorang,Bogor,2001-06-27,Perempuan,AB,Jl. Hidayat No. 51,001/008,Bintaro,Tebet,Bogor,Jawa Barat,KATOLIK,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000815,3172013108790815,Rizky Suryadi,Jakarta Utara,1979-08-31,Laki-Laki,O,Jl. Nugroho No. 148,001/005,Sukamaju,Serpong,Jakarta Utara,DKI Jakarta,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000816,3275014612880816,Lestari Setiawan,Bekasi,1988-12-06,Perempuan,A,Jl. Gunawan No. 5,002/008,Sukajadi,Bekasi Timur,Bekasi,Jawa Barat,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000817,3674017007680817,Ratna Situmorang,Tangerang Selatan,1968-07-30,Perempuan,AB,Jl. Handoko No. 13,007/005,Bintaro,Bekasi Timur,Tangerang Selatan,Jawa Barat,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000818,3171016302670818,Nina Saputra,Jakarta Pusat,1967-02-23,Perempuan,A,Jl. Setiawan No. 27,006/007,Kebon Baru,Kramat Jati,Jakarta Pusat,DKI Jakarta,ISLAM,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000819,3174016508760819,Kartika Rahman,Jakarta Selatan,1976-08-25,Perempuan,A,Jl. Saputra No. 13,005/002,Duren Sawit,Cengkareng,Jakarta Selatan,DKI Jakarta,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000820,3172014109850820,Lina Pratama,Jakarta Utara,1985-09-01,Perempuan,A,Jl. Setiawan No. 82,003/010,Cipete,Serpong,Jakarta Utara,DKI Jakarta,HINDU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000821,3671010208770821,Taufik Handoko,Tangerang,1977-08-02,Laki-Laki,AB,Jl. Situmorang No. 124,004/002,Duren Sawit,Cengkareng,Tangerang,Banten,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000822,3671014503960822,Dian Nugroho,Tangerang,1996-03-05,Perempuan,A,Jl. Kurniawan No. 127,001/004,Sukamaju,Serpong,Tangerang,Banten,KRISTEN,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000823,3175015205740823,Yuni Handoko,Jakarta Timur,1974-05-12,Perempuan,AB,Jl. Situmorang No. 80,012/008,Cempaka Putih,Sukmajaya,Jakarta Timur,DKI Jakarta,ISLAM,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000824,3674013110920824,Krisna Halim,Tangerang Selatan,1992-10-31,Laki-Laki,B,Jl. Situmorang No. 103,004/002,Duren Sawit,Bekasi Timur,Tangerang Selatan,Jawa Barat,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000825,3174011710750825,Dedi Suryadi,Jakarta Selatan,1975-10-17,Laki-Laki,A,Jl. Suryadi No. 48,005/001,Bintaro,Serpong,Jakarta Selatan,DKI Jakarta,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000826,3671016411800826,Indah Saputra,Tangerang,1980-11-24,Perempuan,O,Jl. Hidayat No. 39,007/009,Cipete,Sukmajaya,Tangerang,Banten,KATOLIK,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000827,3174014502940827,Indah Halim,Jakarta Selatan,1994-02-05,Perempuan,O,Jl. Panjaitan No. 109,004/005,Kebon Baru,Bekasi Timur,Jakarta Selatan,DKI Jakarta,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000828,3174016912930828,Ayu Permana,Jakarta Selatan,1993-12-29,Perempuan,B,Jl. Saputra No. 57,002/001,Sukamaju,Sukmajaya,Jakarta Selatan,DKI Jakarta,KATOLIK,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000829,3276012710920829,Arif Saputra,Depok,1992-10-27,Laki-Laki,O,Jl. Wibowo No. 101,002/004,Duren Sawit,Bekasi Timur,Depok,Jawa Barat,KRISTEN,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000830,3271010212970830,Rudi Tanjung,Bogor,1997-12-02,Laki-Laki,A,Jl. Saputra No. 48,009/010,Bintaro,Serpong,Bogor,Jawa Barat,KATOLIK,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000831,3171012805730831,Eko Lubis,Jakarta Pusat,1973-05-28,Laki-Laki,AB,Jl. Suryadi No. 37,001/008,Cipete,Cengkareng,Jakarta Pusat,DKI Jakarta,ISLAM,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000832,3174016508910832,Melati Kurniawan,Jakarta Selatan,1991-08-25,Perempuan,AB,Jl. Handoko No. 150,001/008,Kebon Baru,Bekasi Timur,Jakarta Selatan,DKI Jakarta,ISLAM,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000833,3276012507880833,Taufik Lubis,Depok,1988-07-25,Laki-Laki,B,Jl. Situmorang No. 38,002/002,Duren Sawit,Serpong,Depok,Jawa Barat,KATOLIK,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000834,3671014510940834,Desi Halim,Tangerang,1994-10-05,Perempuan,O,Jl. Firmansyah No. 94,008/001,Rawa Bunga,Cengkareng,Tangerang,Banten,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000835,3671016108710835,Ani Firmansyah,Tangerang,1971-08-21,Perempuan,O,Jl. Nugroho No. 37,006/008,Sukamaju,Kramat Jati,Tangerang,Banten,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000836,3171015212810836,Yuni Panjaitan,Jakarta Pusat,1981-12-12,Perempuan,A,Jl. Firmansyah No. 140,008/009,Cempaka Putih,Cengkareng,Jakarta Pusat,DKI Jakarta,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000837,3271015611780837,Putri Siregar,Bogor,1978-11-16,Perempuan,B,Jl. Wijaya No. 149,009/006,Sukajadi,Bekasi Timur,Bogor,Jawa Barat,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000838,3276014212850838,Ani Santoso,Depok,1985-12-02,Perempuan,B,Jl. Kusuma No. 75,010/009,Cempaka Putih,Cengkareng,Depok,Jawa Barat,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000839,3173010211660839,Yudi Susanto,Jakarta Barat,1966-11-02,Laki-Laki,B,Jl. Susanto No. 32,001/008,Duren Sawit,Tebet,Jakarta Barat,DKI Jakarta,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000840,3175011609770840,Agus Firmansyah,Jakarta Timur,1977-09-16,Laki-Laki,B,Jl. Kurniawan No. 70,003/004,Cipete,Sukmajaya,Jakarta Timur,DKI Jakarta,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000841,3276013105010841,Agus Handoko,Depok,2001-05-31,Laki-Laki,O,Jl. Permana No. 103,002/005,Duren Sawit,Sukmajaya,Depok,Jawa Barat,KATOLIK,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000842,3671016708950842,Yanti Gunawan,Tangerang,1995-08-27,Perempuan,B,Jl. Firmansyah No. 35,007/009,Kebon Baru,Cengkareng,Tangerang,Banten,KATOLIK,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000843,3276015211810843,Rita Tanjung,Depok,1981-11-12,Perempuan,O,Jl. Saputra No. 36,009/008,Rawa Bunga,Sukmajaya,Depok,Jawa Barat,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000844,3674016805830844,Maya Permana,Tangerang Selatan,1983-05-28,Perempuan,O,Jl. Santoso No. 144,001/007,Sukajadi,Kramat Jati,Tangerang Selatan,Jawa Barat,BUDDHA,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000845,3276010711920845,Taufik Kusuma,Depok,1992-11-07,Laki-Laki,AB,Jl. Wijaya No. 101,003/007,Sukamaju,Bekasi Timur,Depok,Jawa Barat,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000846,3275011712790846,Andi Wijaya,Bekasi,1979-12-17,Laki-Laki,A,Jl. Susanto No. 145,008/006,Sukamaju,Tebet,Bekasi,Jawa Barat,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000847,3671011302710847,Dimas Setiawan,Tangerang,1971-02-13,Laki-Laki,B,Jl. Lubis No. 40,005/005,Sukamaju,Bekasi Timur,Tangerang,Banten,BUDDHA,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000848,3172010706700848,Andi Santoso,Jakarta Utara,1970-06-07,Laki-Laki,A,Jl. Nugroho No. 53,002/008,Sukamaju,Sukmajaya,Jakarta Utara,DKI Jakarta,HINDU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000849,3674011309860849,Krisna Saputra,Tangerang Selatan,1986-09-13,Laki-Laki,B,Jl. Nugroho No. 140,005/010,Bintaro,Serpong,Tangerang Selatan,Jawa Barat,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000850,3171015105710850,Wulan Tanjung,Jakarta Pusat,1971-05-11,Perempuan,B,Jl. Pratama No. 131,012/009,Kebon Baru,Bekasi Timur,Jakarta Pusat,DKI Jakarta,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000851,3671016406810851,Yanti Saputra,Tangerang,1981-06-24,Perempuan,AB,Jl. Wibowo No. 99,012/002,Bintaro,Bekasi Timur,Tangerang,Banten,HINDU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000852,3172012106820852,Bambang Suryadi,Jakarta Utara,1982-06-21,Laki-Laki,A,Jl. Siregar No. 78,001/010,Bintaro,Tebet,Jakarta Utara,DKI Jakarta,KATOLIK,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000853,3271017005650853,Melati Panjaitan,Bogor,1965-05-30,Perempuan,B,Jl. Halim No. 129,009/004,Rawa Bunga,Serpong,Bogor,Jawa Barat,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000854,3175010406940854,Hendra Tanjung,Jakarta Timur,1994-06-04,Laki-Laki,AB,Jl. Suryadi No. 36,005/005,Cipete,Tebet,Jakarta Timur,DKI Jakarta,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000855,3671014311900855,Wati Simanjuntak,Tangerang,1990-11-03,Perempuan,AB,Jl. Setiawan No. 83,010/010,Rawa Bunga,Sukmajaya,Tangerang,Banten,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000856,3671012505750856,Agus Santoso,Tangerang,1975-05-25,Laki-Laki,A,Jl. Lubis No. 28,008/008,Rawa Bunga,Kramat Jati,Tangerang,Banten,KONGHUCU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000857,3671012711980857,Bayu Pratama,Tangerang,1998-11-27,Laki-Laki,O,Jl. Kurniawan No. 16,010/005,Sukajadi,Tebet,Tangerang,Banten,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000858,3671016210720858,Tri Halim,Tangerang,1972-10-22,Perempuan,AB,Jl. Saputra No. 116,007/003,Kebon Baru,Kramat Jati,Tangerang,Banten,KATOLIK,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000859,3171015704980859,Yanti Susanto,Jakarta Pusat,1998-04-17,Perempuan,B,Jl. Permana No. 136,004/002,Sukamaju,Serpong,Jakarta Pusat,DKI Jakarta,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000860,3175012709990860,Agus Setiawan,Jakarta Timur,1999-09-27,Laki-Laki,O,Jl. Siregar No. 140,002/006,Cempaka Putih,Serpong,Jakarta Timur,DKI Jakarta,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000861,3671012006870861,Fauzi Hidayat,Tangerang,1987-06-20,Laki-Laki,AB,Jl. Halim No. 144,003/002,Bintaro,Bekasi Timur,Tangerang,Banten,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
