application_id,NIK,company_name,owner_name,industry,sub_industry,province,city,branch_name,region,rm_id,rm_name,rm_branch_name,level,loan_requested,collateral_type,collateral_market_value,collateral_ratio,estimated_dsr,revenue_growth_pct,profit_margin_2025,slik_worst_collectability,status_dhn,bank_best_avg_balance_6m,bank_best_current_balance,identity_passed,character_score,character_notes,collateral_score,collateral_notes,financial_score,financial_notes,cashflow_score,cashflow_notes,risk_score,decision,zone,jenis_kredit_rekomendasi,nominal_disetujui,jangka_waktu_bulan,bunga_persen,insight,insight_kategori,label
APP202600280,3271015406730280,CV Handoko Sejahtera,Anggi Firmansyah,Pertanian,Distributor Hasil Tani,Jawa Barat,Bogor,KCP Pluit,Region 4,RM0034,Iwan Nugroho,KCP Pluit,Junior RB,750000000,Tanah,1076000000,1.43,3.0,0.2772,0.1559,2.0,Tidak,34400822,60122436,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 1 bank,0.953,LTV agunan 143% dari pinjaman,0.866,"Omset tumbuh +27.7% (2024→2025), margin laba 15.6%",0.402,"Saldo rata-rata 9.3x omset bulanan, saldo real-time 16.3x omset bulanan, overdraft 2x dalam 6 bulan",0.786,Layak,Hijau,KI,750000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600281,3271011110830281,UD Pratama Sejahtera,Gunawan Handoko,Pertanian,Peternakan Ayam,Jawa Barat,Bogor,KCP Bogor Baranangsiang,Region 3,RM0017,Sutrisno Suryadi,KCP Bogor Baranangsiang,Senior RB,750000000,Ruko,16834070000,22.45,3.0,-0.1663,0.1139,2.0,Tidak,28609645,32169392,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 3 bank,1.0,LTV agunan 2245% dari pinjaman,0.504,"Omset menurun -16.6% (2024→2025), margin laba 11.4%",0.652,"Saldo rata-rata 12.9x omset bulanan, saldo real-time 14.5x omset bulanan",0.73,Layak,Hijau,KI,750000000,36,9.5,"Layak karena seluruh komponen (Character 0.75, Financial 0.50, Collateral 1.00, Cashflow 0.65) berada di zona aman.",Layak karena,Diterima
APP202600282,3271014412020282,PT Firmansyah Jaya,Suryani Lubis,Kuliner,Bakery,Jawa Barat,Bogor,KCP Cibubur,Region 2,RM0038,Ani Firmansyah,KCP Cibubur,Senior RB,300000000,Rumah,2008603000,6.7,3.0,0.034,0.0598,3.0,Tidak,5219006,7372851,True,0.45,Kolektibilitas terburuk: Kurang Lancar di 1 bank,1.0,LTV agunan 670% dari pinjaman,0.48,"Omset tumbuh +3.4% (2024→2025), margin laba 6.0%",0.592,"Saldo rata-rata 10.4x omset bulanan, saldo real-time 14.7x omset bulanan",0.621,Layak Bersyarat,Kuning,KI,300000000,36,12.0,"Layak bersyarat karena Character, Financial — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Diterima
APP202600283,3671012112740283,UD Hutapea Abadi,Sutrisno Gunawan,Pertanian,Distributor Hasil Tani,Banten,Tangerang,KCP Kelapa Gading,Region 2,RM0008,Retno Kusuma,KCP Kelapa Gading,Junior RB,500000000,Rumah,7837428000,15.67,3.0,-0.0236,0.0471,1.0,Tidak,24996001,43870224,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 1567% dari pinjaman,0.411,"Omset menurun -2.4% (2024→2025), margin laba 4.7%",0.591,"Saldo rata-rata 9.2x omset bulanan, saldo real-time 16.1x omset bulanan",0.788,Layak,Hijau,KI,500000000,36,9.5,Layak tapi Financial tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600284,3275015606930284,UD Permana Sejahtera,Anggi Saputra,Kuliner,Bakery,Jawa Barat,Bekasi,KCP Tebet,Region 2,RM0004,Rita Halim,KCP Tebet,Junior RB,50000000,Ruko,8549392000,170.99,3.0,-0.0779,0.1842,1.0,Tidak,16466711,12331482,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 17099% dari pinjaman,0.653,"Omset menurun -7.8% (2024→2025), margin laba 18.4%",0.515,"Saldo rata-rata 12.1x omset bulanan, saldo real-time 9.1x omset bulanan",0.849,Layak,Hijau,KMK,50000000,12,9.5,"Layak karena seluruh komponen (Character 1.00, Financial 0.65, Collateral 1.00, Cashflow 0.52) berada di zona aman.",Layak karena,Diterima
APP202600285,3171011605800285,UD Pratama Makmur,Irfan Setiawan,Manufaktur,Pengolahan Makanan Ringan,DKI Jakarta,Jakarta Pusat,KCP Pluit,Region 2,RM0034,Iwan Nugroho,KCP Pluit,Junior RB,200000000,Rumah,2110268000,10.55,3.0,0.5653,0.01,1.0,Tidak,14647183,6003923,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 1055% dari pinjaman,0.627,"Omset tumbuh +56.5% (2024→2025), margin laba 1.0%",0.456,"Saldo rata-rata 13.0x omset bulanan, saldo real-time 5.3x omset bulanan",0.84,Layak,Hijau,KI,200000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600286,3174011204850286,UD Siregar Sejahtera,Eko Tanjung,Pertanian,Distributor Hasil Tani,DKI Jakarta,Jakarta Selatan,KCP Tebet,Region 1,RM0003,Dedi Kurniawan,KCP Tebet,Senior RB,500000000,Gudang,4878663000,9.76,3.0,0.0544,0.1768,0.0,Tidak,10245794,12513015,True,0.6,Belum memiliki riwayat kredit di SLIK (nasabah baru),1.0,LTV agunan 976% dari pinjaman,0.733,"Omset tumbuh +5.4% (2024→2025), margin laba 17.7%",0.667,"Saldo rata-rata 12.6x omset bulanan, saldo real-time 15.4x omset bulanan",0.736,Layak,Hijau,KI,500000000,36,9.5,"Layak karena seluruh komponen (Character 0.60, Financial 0.73, Collateral 1.00, Cashflow 0.67) berada di zona aman.",Layak karena,Diterima
APP202600287,3674015803650287,UD Santoso Jaya,Putri Permana,Transportasi,Ekspedisi Kecil,Jawa Barat,Tangerang Selatan,KCP Cibubur,Region 1,RM0040,Tri Wibowo,KCP Cibubur,Junior RB,1000000000,Ruko,2371851000,2.37,3.0,0.0981,0.0594,1.0,Tidak,3386311,461624,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 237% dari pinjaman,0.517,"Omset tumbuh +9.8% (2024→2025), margin laba 5.9%",0.069,"Saldo rata-rata 7.5x omset bulanan, saldo real-time 1.0x omset bulanan, memiliki rekening dormant",0.766,Layak,Hijau,KI,1000000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600288,3671012502750288,UD Hidayat Makmur,Sutrisno Santoso,Jasa,Percetakan,Banten,Tangerang,KCP Cibubur,Region 2,RM0038,Ani Firmansyah,KCP Cibubur,Senior RB,750000000,Ruko,3491674000,4.66,3.0,-0.0652,0.1461,1.0,Tidak,31147658,30248152,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 466% dari pinjaman,0.65,"Omset menurun -6.5% (2024→2025), margin laba 14.6%",0.514,"Saldo rata-rata 10.9x omset bulanan, saldo real-time 10.5x omset bulanan",0.856,Layak,Hijau,KI,750000000,36,9.5,"Layak karena seluruh komponen (Character 1.00, Financial 0.65, Collateral 1.00, Cashflow 0.51) berada di zona aman.",Layak karena,Diterima
APP202600289,3671015506840289,UD Hutapea Makmur,Lestari Suryadi,Kuliner,Warung Makan,Banten,Tangerang,KCP Tebet,Region 3,RM0003,Dedi Kurniawan,KCP Tebet,Senior RB,100000000,Gudang,16930446000,169.3,2.1,0.0068,0.0878,1.0,Tidak,40259924,8004000,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 16930% dari pinjaman,0.538,"Omset stagnan +0.7% (2024→2025), margin laba 8.8%",0.235,"Saldo rata-rata 12.6x omset bulanan, saldo real-time 2.5x omset bulanan, memiliki rekening dormant",0.792,Layak,Hijau,KMK,100000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600290,3174011506910290,PT Setiawan Mandiri,Rian Setiawan,Kuliner,Katering,DKI Jakarta,Jakarta Selatan,KCP Cikini,Region 1,RM0026,Agus Santoso,KCP Cikini,Senior RB,100000000,Tanah,6294980000,62.95,0.7,0.2043,0.0431,1.0,Tidak,138467074,242972046,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 6295% dari pinjaman,0.538,"Omset tumbuh +20.4% (2024→2025), margin laba 4.3%",0.978,"Saldo rata-rata 18.4x omset bulanan, saldo real-time 32.2x omset bulanan",0.866,Layak,Hijau,KMK,100000000,12,9.5,"Layak karena seluruh komponen (Character 1.00, Financial 0.54, Collateral 1.00, Cashflow 0.98) berada di zona aman.",Layak karena,Diterima
APP202600291,3671010203670291,PT Situmorang Sejahtera,Sutrisno Saputra,Transportasi,Rental Kendaraan,Banten,Tangerang,KCP Cikini,Region 3,RM0028,Agus Firmansyah,KCP Cikini,Junior RB,1000000000,Ruko,2535628000,2.54,3.0,0.0818,0.112,2.0,Tidak,49374298,61135122,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 1 bank,1.0,LTV agunan 254% dari pinjaman,0.648,"Omset tumbuh +8.2% (2024→2025), margin laba 11.2%",1.0,"Saldo rata-rata 21.6x omset bulanan, saldo real-time 26.7x omset bulanan",0.804,Layak,Hijau,KI,1000000000,36,9.5,"Layak karena seluruh komponen (Character 0.75, Financial 0.65, Collateral 1.00, Cashflow 1.00) berada di zona aman.",Layak karena,Diterima
APP202600292,3671010507780292,PT Nugroho Jaya,Anton Lubis,Pertanian,Distributor Hasil Tani,Banten,Tangerang,KCP Cibubur,Region 3,RM0037,Andi Situmorang,KCP Cibubur,Junior RB,75000000,Rumah,2591426000,34.55,1.03,0.0689,0.1665,1.0,Tidak,4469119,4435287,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 3455% dari pinjaman,0.741,"Omset tumbuh +6.9% (2024→2025), margin laba 16.7%",0.069,"Saldo rata-rata 1.4x omset bulanan, saldo real-time 1.4x omset bulanan",0.818,Layak,Hijau,KMK,75000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600293,3671014609770293,PT Situmorang Makmur,Kartika Saputra,Transportasi,Ekspedisi Kecil,Banten,Tangerang,KCP Bogor Baranangsiang,Region 2,RM0020,Indah Kusuma,KCP Bogor Baranangsiang,Junior RB,300000000,Tanah,2871470000,9.57,3.0,0.098,0.0104,0.0,Tidak,10218677,5418270,True,0.6,Belum memiliki riwayat kredit di SLIK (nasabah baru),1.0,LTV agunan 957% dari pinjaman,0.387,"Omset tumbuh +9.8% (2024→2025), margin laba 1.0%",0.26,"Saldo rata-rata 6.9x omset bulanan, saldo real-time 3.7x omset bulanan",0.613,Layak Bersyarat,Kuning,KI,300000000,36,12.0,"Layak bersyarat karena Financial, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Diterima
APP202600294,3276014810660294,UD Lubis Makmur,Lina Permana,Kuliner,Warung Makan,Jawa Barat,Depok,KCP Bekasi Barat,Region 2,RM0011,Indah Firmansyah,KCP Bekasi Barat,Senior RB,300000000,Tanah,1039623000,3.47,3.0,-0.0406,0.1144,3.0,Ya,24231420,12023138,True,0.45,Kolektibilitas terburuk: Kurang Lancar di 3 bank,1.0,LTV agunan 347% dari pinjaman,0.581,"Omset menurun -4.1% (2024→2025), margin laba 11.4%",0.385,"Saldo rata-rata 10.4x omset bulanan, saldo real-time 5.2x omset bulanan",,Tidak Layak,Merah,-,0,0,,Tidak layak karena nasabah terdaftar di Daftar Hitam Nasional (Terlibat kasus fraud dokumen).,Tidak layak karena,Ditolak
APP202600295,3671011009710295,UD Siregar Sejahtera,Fauzi Siregar,Manufaktur,Furniture,Banten,Tangerang,KCP Bogor Baranangsiang,Region 4,RM0018,Slamet Situmorang,KCP Bogor Baranangsiang,Senior RB,300000000,Gudang,2251107000,7.5,3.0,-0.132,0.0985,1.0,Tidak,8383528,12899223,True,1.0,Kolektibilitas terburuk: Lancar di 2 bank,1.0,LTV agunan 750% dari pinjaman,0.483,"Omset menurun -13.2% (2024→2025), margin laba 9.8%",0.279,"Saldo rata-rata 4.7x omset bulanan, saldo real-time 7.2x omset bulanan",0.787,Layak,Hijau,KI,300000000,36,9.5,"Layak tapi Financial, Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.",Layak tapi,Diterima
APP202600296,3174016406010296,PT Hidayat Abadi,Indah Suryadi,Jasa,Jasa Konstruksi Kecil,DKI Jakarta,Jakarta Selatan,KCP Tangerang BSD,Region 3,RM0024,Rita Tanjung,KCP Tangerang BSD,Junior RB,300000000,Ruko,5604324000,18.68,3.0,0.1166,0.0761,2.0,Tidak,8218002,13239471,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 2 bank,1.0,LTV agunan 1868% dari pinjaman,0.573,"Omset tumbuh +11.7% (2024→2025), margin laba 7.6%",0.726,"Saldo rata-rata 11.8x omset bulanan, saldo real-time 19.1x omset bulanan",0.77,Layak,Hijau,KI,300000000,36,9.5,"Layak karena seluruh komponen (Character 0.75, Financial 0.57, Collateral 1.00, Cashflow 0.73) berada di zona aman.",Layak karena,Diterima
APP202600297,3671012909790297,CV Nugroho Sejahtera,Budi Setiawan,Perdagangan,Grosir Pakaian,Banten,Tangerang,KCP Tangerang BSD,Region 4,RM0022,Sari Setiawan,KCP Tangerang BSD,Junior RB,300000000,Rumah,3824610000,12.75,3.0,0.1644,0.1359,2.0,Tidak,2140208,2344757,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 2 bank,1.0,LTV agunan 1275% dari pinjaman,0.761,"Omset tumbuh +16.4% (2024→2025), margin laba 13.6%",0.045,"Saldo rata-rata 0.9x omset bulanan, saldo real-time 1.0x omset bulanan",0.749,Layak,Hijau,KI,300000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600298,3674015312950298,CV Hidayat Makmur,Putri Suryadi,Jasa,Laundry,Jawa Barat,Tangerang Selatan,KCP Tebet,Region 4,RM0002,Krisna Permana,KCP Tebet,Senior RB,750000000,Tanah,8095008000,10.79,3.0,0.3962,0.105,1.0,Tidak,2150662,1589314,True,1.0,Kolektibilitas terburuk: Lancar di 2 bank,1.0,LTV agunan 1079% dari pinjaman,0.818,"Omset tumbuh +39.6% (2024→2025), margin laba 10.5%",0.0,"Saldo rata-rata 2.0x omset bulanan, saldo real-time 1.5x omset bulanan, overdraft 1x dalam 6 bulan",0.846,Layak,Hijau,KI,750000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600299,3671015702730299,UD Permana Jaya,Retno Siregar,Kuliner,Katering,Banten,Tangerang,KCP Kelapa Gading,Region 2,RM0006,Budi Suryadi,KCP Kelapa Gading,Senior RB,750000000,Ruko,888374000,1.18,3.0,0.0513,0.1194,0.0,Tidak,23553748,13535731,True,0.6,Belum memiliki riwayat kredit di SLIK (nasabah baru),0.787,LTV agunan 118% dari pinjaman,0.649,"Omset tumbuh +5.1% (2024→2025), margin laba 11.9%",0.371,"Saldo rata-rata 9.6x omset bulanan, saldo real-time 5.5x omset bulanan",0.651,Layak Bersyarat,Kuning,KI,621861800,36,12.0,Layak bersyarat karena Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.,Layak bersyarat karena,Diterima
APP202600300,3175016005940300,PT Handoko Mandiri,Novi Wijaya,Transportasi,Ekspedisi Kecil,DKI Jakarta,Jakarta Timur,KCP Tebet,Region 3,RM0002,Krisna Permana,KCP Tebet,Senior RB,150000000,Gudang,4836952000,32.25,3.0,-0.0152,0.1407,1.0,Tidak,45606629,46867472,True,1.0,Kolektibilitas terburuk: Lancar di 2 bank,1.0,LTV agunan 3225% dari pinjaman,0.666,"Omset stagnan -1.5% (2024→2025), margin laba 14.1%",0.96,"Saldo rata-rata 20.4x omset bulanan, saldo real-time 21.0x omset bulanan",0.892,Layak,Hijau,KMK,150000000,12,9.5,"Layak karena seluruh komponen (Character 1.00, Financial 0.67, Collateral 1.00, Cashflow 0.96) berada di zona aman.",Layak karena,Diterima
APP202600301,3173014507800301,CV Setiawan Sejahtera,Yanti Panjaitan,Jasa,Laundry,DKI Jakarta,Jakarta Barat,KCP Bogor Baranangsiang,Region 4,RM0019,Maya Lubis,KCP Bogor Baranangsiang,Senior RB,300000000,Ruko,1443709000,4.81,3.0,0.2767,0.0784,1.0,Tidak,23354726,34004971,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,0.2,LTV agunan 481% dari pinjaman — nama sertifikat TIDAK sesuai pemilik (butuh verifikasi manual),0.675,"Omset tumbuh +27.7% (2024→2025), margin laba 7.8%",0.4,"Saldo rata-rata 9.5x omset bulanan, saldo real-time 13.8x omset bulanan, memiliki rekening dormant",0.691,Layak Bersyarat,Kuning,KI,300000000,36,12.0,"Layak bersyarat karena Collateral, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Diterima
APP202600302,3173016105790302,UD Pratama Abadi,Anggi Pratama,Perdagangan,Toko Alat Tulis,DKI Jakarta,Jakarta Barat,KCP Kemang,Region 1,RM0032,Tri Permana,KCP Kemang,Senior RB,150000000,Rumah,9146483000,60.98,3.0,0.1153,0.124,1.0,Tidak,17394737,16182166,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 6098% dari pinjaman,0.7,"Omset tumbuh +11.5% (2024→2025), margin laba 12.4%",0.468,"Saldo rata-rata 13.3x omset bulanan, saldo real-time 12.4x omset bulanan, memiliki rekening dormant",0.864,Layak,Hijau,KMK,150000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600303,3173014412840303,PT Wijaya Abadi,Kartika Nugroho,Perdagangan,Distributor Bahan Bangunan,DKI Jakarta,Jakarta Barat,KCP Kemang,Region 2,RM0030,Doni Simanjuntak,KCP Kemang,Junior RB,500000000,Rumah,5176078000,10.35,3.0,0.2661,0.1618,3.0,Tidak,11259464,6447296,True,0.45,Kolektibilitas terburuk: Kurang Lancar di 3 bank,1.0,LTV agunan 1035% dari pinjaman,0.86,"Omset tumbuh +26.6% (2024→2025), margin laba 16.2%",0.142,"Saldo rata-rata 3.7x omset bulanan, saldo real-time 2.1x omset bulanan",0.679,Layak Bersyarat,Kuning,KI,500000000,36,12.0,"Layak bersyarat karena Character, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Diterima
APP202600304,3172011908890304,CV Handoko Mandiri,Slamet Permana,Transportasi,Ekspedisi Kecil,DKI Jakarta,Jakarta Utara,KCP Tangerang BSD,Region 2,RM0021,Slamet Situmorang,KCP Tangerang BSD,Junior RB,500000000,Tanah,1217842000,2.44,3.0,0.086,0.1096,1.0,Tidak,21431759,10489475,True,1.0,Kolektibilitas terburuk: Lancar di 2 bank,1.0,LTV agunan 244% dari pinjaman,0.644,"Omset tumbuh +8.6% (2024→2025), margin laba 11.0%",0.225,"Saldo rata-rata 6.1x omset bulanan, saldo real-time 3.0x omset bulanan",0.814,Layak,Hijau,KI,500000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600305,3173016311790305,CV Gunawan Mandiri,Maya Wijaya,Perdagangan,Toko Alat Tulis,DKI Jakarta,Jakarta Barat,KCP Kelapa Gading,Region 4,RM0005,Bayu Situmorang,KCP Kelapa Gading,Senior RB,50000000,Ruko,10843193000,216.86,3.0,-0.0382,0.1153,2.0,Tidak,19508826,16909057,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 3 bank,1.0,LTV agunan 21686% dari pinjaman,0.585,"Omset menurun -3.8% (2024→2025), margin laba 11.5%",0.257,"Saldo rata-rata 7.9x omset bulanan, saldo real-time 6.9x omset bulanan, overdraft 1x dalam 6 bulan",0.726,Layak,Hijau,KMK,50000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600306,3671012707890306,CV Lubis Abadi,Eko Halim,Pertanian,Peternakan Ayam,Banten,Tangerang,KCP Depok Margonda,Region 3,RM0013,Krisna Permana,KCP Depok Margonda,Junior RB,100000000,Rumah,6100500000,61.01,3.0,-0.032,0.083,2.0,Tidak,22187453,36237678,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 1 bank,1.0,LTV agunan 6101% dari pinjaman,0.502,"Omset menurun -3.2% (2024→2025), margin laba 8.3%",0.5,"Saldo rata-rata 9.7x omset bulanan, saldo real-time 15.8x omset bulanan, overdraft 1x dalam 6 bulan",0.714,Layak,Hijau,KMK,100000000,12,9.5,"Layak karena seluruh komponen (Character 0.75, Financial 0.50, Collateral 1.00, Cashflow 0.50) berada di zona aman.",Layak karena,Diterima
APP202600307,3171010206700307,UD Handoko Jaya,Wahyu Simanjuntak,Manufaktur,Konveksi,DKI Jakarta,Jakarta Pusat,KCP Cibubur,Region 4,RM0040,Tri Wibowo,KCP Cibubur,Junior RB,750000000,Ruko,11269437000,15.03,3.0,0.0446,0.0996,1.0,Tidak,6691977,4552108,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 1503% dari pinjaman,0.592,"Omset tumbuh +4.5% (2024→2025), margin laba 10.0%",0.28,"Saldo rata-rata 6.8x omset bulanan, saldo real-time 4.6x omset bulanan",0.814,Layak,Hijau,KI,750000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600308,3671015805870308,PT Gunawan Sejahtera,Novi Lubis,Pertanian,Peternakan Ayam,Banten,Tangerang,KCP Bekasi Barat,Region 2,RM0012,Ika Tanjung,KCP Bekasi Barat,Junior RB,750000000,Rumah,4399950000,5.87,3.0,0.202,0.0887,1.0,Tidak,27400212,29935905,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 587% dari pinjaman,0.658,"Omset tumbuh +20.2% (2024→2025), margin laba 8.9%",0.661,"Saldo rata-rata 13.2x omset bulanan, saldo real-time 14.5x omset bulanan",0.857,Layak,Hijau,KI,750000000,36,9.5,"Layak karena seluruh komponen (Character 1.00, Financial 0.66, Collateral 1.00, Cashflow 0.66) berada di zona aman.",Layak karena,Diterima
APP202600309,3671011308870309,PT Susanto Abadi,Rizky Wibowo,Pertanian,Distributor Hasil Tani,Banten,Tangerang,KCP Cikini,Region 2,RM0025,Wahyu Susanto,KCP Cikini,Junior RB,100000000,Ruko,1669062000,16.69,1.03,0.2093,0.1847,0.0,Tidak,58550997,-145481,True,0.6,Belum memiliki riwayat kredit di SLIK (nasabah baru),0.2,LTV agunan 1669% dari pinjaman — nama sertifikat TIDAK sesuai pemilik (butuh verifikasi manual),0.826,"Omset tumbuh +20.9% (2024→2025), margin laba 18.5%",0.4,"Saldo rata-rata 19.4x omset bulanan, saldo real-time -0.0x omset bulanan, overdraft 1x dalam 6 bulan",0.573,Layak Bersyarat,Kuning,KMK,100000000,12,12.0,"Layak bersyarat karena Collateral, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Diterima
APP202600310,3671012610020310,PT Rahman Mandiri,Joko Simanjuntak,Manufaktur,Pengolahan Makanan Ringan,Banten,Tangerang,KCP Kelapa Gading,Region 4,RM0006,Budi Suryadi,KCP Kelapa Gading,Senior RB,200000000,Rumah,2328528000,11.64,3.0,-0.1219,0.1387,1.0,Tidak,18155533,21274423,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 1164% dari pinjaman,0.597,"Omset menurun -12.2% (2024→2025), margin laba 13.9%",0.227,"Saldo rata-rata 10.2x omset bulanan, saldo real-time 11.9x omset bulanan, overdraft 3x dalam 6 bulan",0.81,Layak,Hijau,KI,200000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600311,3171014908870311,CV Halim Jaya,Suryani Lubis,Jasa,Percetakan,DKI Jakarta,Jakarta Pusat,KCP Tangerang BSD,Region 4,RM0022,Sari Setiawan,KCP Tangerang BSD,Junior RB,1000000000,Gudang,5322266000,5.32,3.0,0.2049,0.0846,3.0,Tidak,9957695,4896313,True,0.45,Kolektibilitas terburuk: Kurang Lancar di 2 bank,1.0,LTV agunan 532% dari pinjaman,0.649,"Omset tumbuh +20.5% (2024→2025), margin laba 8.5%",0.137,"Saldo rata-rata 7.8x omset bulanan, saldo real-time 3.8x omset bulanan, memiliki rekening dormant",0.625,Layak Bersyarat,Kuning,KI,1000000000,36,12.0,"Layak bersyarat karena Character, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Diterima
APP202600312,3172015110690312,PT Siregar Mandiri,Melati Permana,Pertanian,Peternakan Ayam,DKI Jakarta,Jakarta Utara,KCP Tangerang BSD,Region 1,RM0022,Sari Setiawan,KCP Tangerang BSD,Junior RB,100000000,Rumah,3937122000,39.37,3.0,0.3677,0.0235,1.0,Tidak,20378950,11001111,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 3937% dari pinjaman,0.583,"Omset tumbuh +36.8% (2024→2025), margin laba 2.4%",0.454,"Saldo rata-rata 12.0x omset bulanan, saldo real-time 6.5x omset bulanan",0.817,Layak,Hijau,KMK,100000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600313,3671016502740313,UD Permana Sejahtera,Wulan Wijaya,Perdagangan,Toko Alat Tulis,Banten,Tangerang,KCP Cibubur,Region 2,RM0038,Ani Firmansyah,KCP Cibubur,Senior RB,750000000,Tanah,5637300000,7.52,3.0,0.1419,0.1355,1.0,Tidak,12310845,-75363,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 752% dari pinjaman,0.746,"Omset tumbuh +14.2% (2024→2025), margin laba 13.6%",0.166,"Saldo rata-rata 10.2x omset bulanan, saldo real-time -0.1x omset bulanan, overdraft 1x dalam 6 bulan",0.845,Layak,Hijau,KI,750000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
